,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",WMICH,51,EMICH,69,W,-5.5,W,128.5,U
1,"Feb 11, 2020",EMICH,73,CMICH,70,W,-6.5,W,138.5,O
2,"Feb 8, 2020",EMICH,58,AKRON,59,L,-12.0,W,131.0,U
3,"Feb 4, 2020",BUFF,62,EMICH,66,W,3.5,W,142.0,U
4,"Feb 1, 2020",TOLDO,57,EMICH,61,W,3.5,W,133.5,U
5,"Jan 25, 2020",EMICH,68,MIAOH,73,L,-4.0,L,133.0,O
6,"Jan 21, 2020",EMICH,59,BOWLG,62,L,-8.5,W,136.5,U
7,"Jan 18, 2020",OHIO,60,EMICH,58,L,0.0,L,129.5,U
8,"Jan 14, 2020",BALL,69,EMICH,52,L,3.5,L,124.5,U
9,"Jan 11, 2020",EMICH,68,N.ILL,71,L,-5.0,W,122.5,O
10,"Jan 7, 2020",EMICH,68,OHIO,74,L,-5.0,L,126.0,O
11,"Jan 4, 2020",AKRON,69,EMICH,45,L,3.5,L,130.5,U
12,"Dec 30, 2019",CCRDMI,53,EMICH,88,W,0.0,,0.0,
13,"Dec 28, 2019",EMICH,49,UNLV,64,L,-5.0,L,124.5,U
14,"Dec 21, 2019",EMICH,48,MICHS,101,L,-23.5,L,133.5,O
15,"Dec 17, 2019",NEAST,55,EMICH,60,W,-2.0,W,133.0,U
16,"Dec 7, 2019",EMICH,55,DETRT,51,W,3.5,W,142.0,U
17,"Dec 3, 2019",VALPO,79,EMICH,85,W,-2.5,W,129.0,O
18,"Nov 30, 2019",EMICH,56,UCI,77,L,-9.0,L,123.5,O
19,"Nov 24, 2019",NCA&T,54,EMICH,58,W,-10.5,L,120.0,U
20,"Nov 22, 2019",EMICH,62,UMBC,45,W,1.0,W,114.5,U
21,"Nov 16, 2019",EMICH,56,N.TEX,51,W,-9.0,W,116.5,U
22,"Nov 14, 2019",MCHDRB,59,EMICH,72,W,0.0,,0.0,
23,"Nov 12, 2019",GOSHEN,49,EMICH,101,W,0.0,,0.0,
24,"Nov 8, 2019",SHU,51,EMICH,93,W,0.0,,0.0,
25,"Mar 11, 2019",BALL,61,EMICH,43,L,-2.5,L,132.0,U
26,"Mar 8, 2019",EMICH,58,TOLDO,64,L,-9.0,W,134.0,U
27,"Mar 5, 2019",BALL,61,EMICH,68,W,-1.5,W,134.0,U
28,"Mar 2, 2019",EMICH,75,N.ILL,69,W,-3.0,W,130.0,O
29,"Feb 26, 2019",CMICH,77,EMICH,66,L,-4.0,L,140.5,O
