,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",EWASH,89,PORST,81,W,-2.0,W,161.5,O
1,"Feb 13, 2020",IDAHO,74,EWASH,71,L,-15.0,L,146.5,U
2,"Feb 8, 2020",MONST,49,EWASH,74,W,-7.0,W,146.0,U
3,"Feb 6, 2020",EWASH,82,MONTA,92,L,-3.0,L,146.5,O
4,"Feb 3, 2020",EWASH,77,NARIZ,66,W,-1.5,W,153.0,U
5,"Feb 1, 2020",EWASH,59,SACRA,54,W,-2.0,W,135.0,U
6,"Jan 27, 2020",NCOLO,84,EWASH,89,W,-2.5,W,148.0,O
7,"Jan 25, 2020",SUTAH,78,EWASH,81,W,-3.5,L,147.5,O
8,"Jan 18, 2020",EWASH,71,MONST,58,W,1.5,W,149.5,U
9,"Jan 16, 2020",EWASH,78,IDAHO,75,W,7.0,L,154.0,U
10,"Jan 9, 2020",MONTA,90,EWASH,63,L,-5.5,L,149.0,O
11,"Jan 4, 2020",PORST,69,EWASH,71,W,-6.5,L,164.0,U
12,"Dec 30, 2019",EWASH,69,ID.ST,75,L,7.5,L,153.0,U
13,"Dec 28, 2019",EWASH,79,WEBER,77,W,2.5,L,148.0,O
14,"Dec 21, 2019",EWASH,77,GONZG,112,L,-20.5,L,164.0,O
15,"Dec 17, 2019",NEBOM,56,EWASH,97,W,-7.0,W,160.0,U
16,"Dec 13, 2019",MULTU,89,EWASH,146,W,0.0,,0.0,
17,"Dec 8, 2019",NDAKOT,82,EWASH,98,W,-7.5,W,152.5,O
18,"Dec 4, 2019",EWASH,80,WASH,90,L,-15.5,W,147.5,O
19,"Nov 26, 2019",BELMT,82,EWASH,87,W,6.5,W,154.5,O
20,"Nov 23, 2019",EWASH,90,HIGHP,74,W,7.0,W,136.0,O
21,"Nov 20, 2019",EWASH,68,BC,72,L,-9.5,W,143.0,U
22,"Nov 13, 2019",EWASH,60,STL,82,L,-8.5,L,141.5,O
23,"Nov 9, 2019",EWASH,74,SEATT,66,W,-2.5,W,142.0,U
24,"Nov 5, 2019",PORTBI,25,EWASH,107,W,0.0,,0.0,
25,"Mar 16, 2019",EWASH,62,MONTA,68,L,-6.0,P,140.5,U
26,"Mar 15, 2019",SUTAH,61,EWASH,77,W,-4.0,W,146.0,U
27,"Mar 14, 2019",MONST,84,EWASH,90,W,-2.0,W,152.5,O
28,"Mar 9, 2019",EWASH,80,WEBER,77,W,-5.0,W,151.0,O
29,"Mar 7, 2019",EWASH,91,ID.ST,62,W,0.0,W,146.5,O
