,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",DREXL,70,ELON,75,W,-1.0,W,140.0,O
1,"Feb 13, 2020",DELA,81,ELON,75,L,3.0,L,141.5,O
2,"Feb 8, 2020",ELON,72,COLCH,65,W,-12.0,W,136.0,O
3,"Feb 6, 2020",ELON,62,NCWIL,56,W,-2.5,W,136.0,U
4,"Feb 1, 2020",NEAST,69,ELON,74,W,7.5,W,137.0,O
5,"Jan 30, 2020",HOFST,86,ELON,63,L,6.0,L,144.5,O
6,"Jan 25, 2020",JMU,73,ELON,82,W,-1.0,W,150.0,O
7,"Jan 23, 2020",TOWSN,72,ELON,61,L,5.5,L,134.5,U
8,"Jan 18, 2020",ELON,78,DELA,79,L,-10.5,W,137.0,O
9,"Jan 16, 2020",ELON,41,DREXL,63,L,-7.5,L,140.5,U
10,"Jan 11, 2020",NCWIL,63,ELON,80,W,-3.0,W,135.5,O
11,"Jan 9, 2020",COLCH,73,ELON,65,L,9.0,W,137.5,O
12,"Jan 4, 2020",ELON,75,HOFST,102,L,-13.0,L,142.5,O
13,"Jan 2, 2020",ELON,68,NEAST,77,L,-14.0,W,134.5,O
14,"Dec 30, 2019",W&M,74,ELON,73,L,6.0,W,140.0,O
15,"Dec 21, 2019",ELON,80,WINTH,85,L,-14.0,W,137.5,O
16,"Dec 17, 2019",ELON,46,CAMBP,60,L,-7.5,L,128.0,U
17,"Dec 5, 2019",ELON,66,HIGHP,70,L,4.0,L,127.5,O
18,"Dec 2, 2019",KENNE,46,ELON,70,W,-7.0,W,132.0,U
19,"Nov 28, 2019",TEXAR,77,ELON,67,L,10.0,P,133.0,O
20,"Nov 26, 2019",FURMN,97,ELON,61,L,15.5,L,131.5,O
21,"Nov 23, 2019",MANHT,69,ELON,64,L,2.5,L,127.0,O
22,"Nov 20, 2019",ELON,61,UNC,75,L,-29.5,W,143.0,U
23,"Nov 15, 2019",ELON,50,MICH,70,L,-24.0,W,140.0,U
24,"Nov 11, 2019",ELON,41,GATEC,64,L,-22.5,L,141.0,U
25,"Nov 8, 2019",MILGN,54,ELON,95,W,0.0,,0.0,
26,"Nov 5, 2019",MHILL,84,ELON,90,W,0.0,,0.0,
27,"Mar 9, 2019",NCWIL,93,ELON,86,L,3.0,L,152.0,O
28,"Mar 2, 2019",ELON,86,TOWSN,66,W,-4.5,W,136.0,O
29,"Feb 28, 2019",ELON,73,JMU,58,W,-6.0,W,141.0,U
