,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",EVANS,80,DRAKE,85,L,-12.0,W,138.0,O
1,"Feb 12, 2020",LOYCH,73,EVANS,66,L,8.5,W,125.0,O
2,"Feb 9, 2020",EVANS,58,BRAD,69,L,-13.0,W,133.0,U
3,"Feb 5, 2020",S.ILL,64,EVANS,60,L,4.0,P,128.5,U
4,"Feb 1, 2020",NIOWA,80,EVANS,68,L,12.0,P,135.5,O
5,"Jan 29, 2020",EVANS,66,ILLST,77,L,-7.0,L,132.0,O
6,"Jan 26, 2020",EVANS,65,VALPO,67,L,-12.5,W,141.5,U
7,"Jan 22, 2020",DRAKE,73,EVANS,50,L,6.0,L,132.0,U
8,"Jan 18, 2020",MIZST,68,EVANS,58,L,4.0,L,131.0,U
9,"Jan 15, 2020",EVANS,42,INDST,65,L,-10.5,L,137.5,U
10,"Jan 11, 2020",EVANS,44,LOYCH,78,L,-13.5,L,130.0,U
11,"Jan 8, 2020",BRAD,72,EVANS,52,L,2.5,L,136.5,U
12,"Jan 4, 2020",VALPO,81,EVANS,79,L,-2.0,L,147.0,O
13,"Dec 31, 2019",EVANS,52,MIZST,65,L,-6.0,L,134.0,U
14,"Dec 21, 2019",MURRAY,76,EVANS,78,W,2.5,W,145.0,O
15,"Dec 16, 2019",EVANS,59,JAXST,85,L,4.5,L,138.5,O
16,"Dec 14, 2019",EVANS,72,WISGB,62,W,-2.5,W,163.0,U
17,"Dec 7, 2019",MIAOH,87,EVANS,101,W,-4.0,W,147.0,O
18,"Dec 4, 2019",W.ILL,86,EVANS,90,W,-11.0,L,151.0,O
19,"Nov 30, 2019",EVANS,70,IUPUI,64,W,4.0,W,148.5,U
20,"Nov 24, 2019",MORGN,112,EVANS,115,W,-10.0,L,135.5,O
21,"Nov 23, 2019",GWASH,78,EVANS,70,L,-7.0,L,132.5,O
22,"Nov 22, 2019",EVANS,68,E.CAR,85,L,6.0,L,136.0,O
23,"Nov 18, 2019",SMU,59,EVANS,57,L,-2.5,L,139.5,U
24,"Nov 14, 2019",IUKOKO,71,EVANS,89,W,0.0,,0.0,
25,"Nov 12, 2019",EVANS,67,KENTY,64,W,-25.0,W,139.0,U
26,"Nov 9, 2019",BALL,75,EVANS,79,W,-1.5,W,144.0,O
27,"Mar 7, 2019",EVANS,60,ILLST,65,L,-5.5,W,135.0,U
28,"Mar 2, 2019",EVANS,65,VALPO,63,W,-4.5,W,129.5,U
29,"Feb 27, 2019",S.ILL,98,EVANS,91,L,3.0,L,135.0,O
