,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",FAIRF,44,STPET,61,L,-6.5,L,120.0,U
1,"Feb 14, 2020",FAIRF,57,MARST,53,W,-2.0,W,117.5,U
2,"Feb 9, 2020",IONA,78,FAIRF,54,L,-2.5,L,129.0,O
3,"Feb 7, 2020",FAIRF,49,SIENA,65,L,-8.0,L,129.0,U
4,"Feb 4, 2020",MONMO,53,FAIRF,55,W,1.0,W,132.5,U
5,"Jan 31, 2020",FAIRF,52,RIDER,68,L,-6.0,L,132.5,U
6,"Jan 26, 2020",CANIS,55,FAIRF,63,W,-1.5,W,129.5,U
7,"Jan 24, 2020",FAIRF,67,QUINN,81,L,-4.0,L,128.0,O
8,"Jan 17, 2020",FAIRF,57,IONA,64,L,-4.0,L,130.5,U
9,"Jan 15, 2020",STPET,51,FAIRF,61,W,-3.0,W,118.5,U
10,"Jan 10, 2020",MANHT,60,FAIRF,68,W,-2.5,W,115.0,O
11,"Jan 8, 2020",MARST,70,FAIRF,58,L,-11.0,L,108.5,O
12,"Jan 5, 2020",FAIRF,46,CANIS,42,W,-4.0,W,131.0,U
13,"Jan 3, 2020",FAIRF,66,NIAGR,75,L,2.0,L,129.5,O
14,"Dec 28, 2019",FAIRF,66,WAGNR,54,W,1.0,W,128.5,U
15,"Dec 21, 2019",FAIRF,61,OAKLN,59,W,-5.0,W,121.0,U
16,"Dec 8, 2019",W&M,62,FAIRF,58,L,-1.5,L,130.0,U
17,"Dec 1, 2019",TEXAM,62,FAIRF,67,W,5.5,W,117.5,O
18,"Nov 29, 2019",FAIRF,56,DAVID,67,L,-11.5,W,125.0,U
19,"Nov 28, 2019",USC,54,FAIRF,47,L,14.5,W,131.0,U
20,"Nov 19, 2019",FAIRF,55,MARYL,74,L,-24.0,W,131.5,U
21,"Nov 17, 2019",FAIRF,75,LOYMD,84,L,-5.5,L,132.5,O
22,"Nov 12, 2019",FAIRF,68,HOLYC,63,W,1.0,W,138.5,U
23,"Nov 9, 2019",UMASS,62,FAIRF,60,L,2.5,W,133.0,U
24,"Nov 5, 2019",BUCKN,68,FAIRF,64,L,4.5,W,143.5,U
25,"Mar 7, 2019",FAIRF,53,MANHT,57,L,3.0,L,119.0,U
26,"Mar 3, 2019",FAIRF,52,STPET,62,L,-1.0,L,127.5,U
27,"Mar 1, 2019",MARST,44,FAIRF,59,W,-2.5,W,136.0,U
28,"Feb 24, 2019",MANHT,59,FAIRF,72,W,-5.0,W,120.5,O
29,"Feb 17, 2019",FAIRF,73,NIAGR,78,L,-2.5,L,146.0,O
