,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 17, 2020",FLA&M,71,MD-ES,81,L,3.5,L,130.5,O
1,"Feb 15, 2020",FLA&M,97,DELST,95,W,5.5,L,150.5,O
2,"Feb 10, 2020",NCA&T,60,FLA&M,79,W,-1.5,W,145.5,U
3,"Feb 8, 2020",HOWRD,78,FLA&M,82,W,-10.0,L,145.5,O
4,"Feb 1, 2020",BCOOK,67,FLA&M,73,W,-1.5,W,151.5,U
5,"Jan 27, 2020",FLA&M,67,NORFK,95,L,-7.0,L,130.5,O
6,"Jan 25, 2020",FLA&M,87,HOWRD,83,W,5.0,L,142.0,O
7,"Jan 20, 2020",NCCEN,57,FLA&M,66,W,-2.0,W,128.0,U
8,"Jan 18, 2020",FLA&M,65,SC.ST,81,L,-2.0,L,139.5,O
9,"Jan 13, 2020",COPIN,54,FLA&M,65,W,-3.5,W,145.5,U
10,"Jan 11, 2020",MORGN,68,FLA&M,77,W,0.0,W,139.5,O
11,"Jan 6, 2020",FLA&M,90,NCA&T,97,L,-3.5,L,132.0,O
12,"Jan 4, 2020",FLA&M,45,NCCEN,61,L,-2.5,L,131.0,U
13,"Dec 31, 2019",FLA&M,70,IOWAS,68,W,-25.0,W,145.0,U
14,"Dec 21, 2019",FLA&M,71,SEATT,57,W,-13.5,W,133.5,U
15,"Dec 19, 2019",FLA&M,73,WASST,87,L,-19.0,W,136.5,O
16,"Dec 16, 2019",FLA&M,60,PORTL,66,L,-11.5,W,130.0,U
17,"Dec 4, 2019",FLA&M,43,TENN,72,L,-30.0,W,130.0,U
18,"Dec 2, 2019",FLA&M,58,KANST,76,L,-26.0,W,123.5,O
19,"Nov 23, 2019",FLA&M,51,SETON,87,L,-30.5,L,139.5,U
20,"Nov 11, 2019",FLA&M,82,SDKOTA,85,L,-17.0,W,131.0,O
21,"Nov 10, 2019",PACIF,76,FLA&M,54,L,9.5,L,126.0,O
22,"Nov 9, 2019",FLA&M,52,HAWAI,65,L,-17.5,W,131.5,U
23,"Nov 5, 2019",FLA&M,48,USC,77,L,-27.0,L,141.5,U
24,"Mar 7, 2019",FLA&M,64,BCOOK,56,W,-6.5,W,132.5,U
25,"Mar 2, 2019",FLA&M,42,NCA&T,63,L,-5.0,L,123.0,U
26,"Feb 23, 2019",BCOOK,67,FLA&M,54,L,-3.0,L,134.5,U
27,"Feb 18, 2019",FLA&M,54,SC.ST,57,L,-1.5,L,135.0,U
28,"Feb 16, 2019",FLA&M,78,SAVAN,74,W,-2.0,W,148.0,O
29,"Feb 11, 2019",NORFK,66,FLA&M,54,L,1.5,L,132.5,U
