,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",FLAAT,68,LATEC,81,L,-10.5,L,133.0,O
1,"Feb 13, 2020",FLAAT,66,S.MISS,68,L,2.0,L,135.0,U
2,"Feb 8, 2020",FLAIN,66,FLAAT,59,L,-2.5,L,149.5,U
3,"Feb 5, 2020",FLAAT,50,FLAIN,69,L,-3.0,L,151.0,U
4,"Feb 1, 2020",MARSH,73,FLAAT,91,W,-1.0,W,147.0,O
5,"Jan 30, 2020",W.KEN,65,FLAAT,69,W,2.5,W,143.5,U
6,"Jan 25, 2020",FLAAT,55,OLDDO,65,L,-3.0,L,130.0,U
7,"Jan 23, 2020",FLAAT,68,CHARL,70,L,-3.5,W,127.5,O
8,"Jan 18, 2020",UAB,68,FLAAT,65,L,-4.0,L,128.0,O
9,"Jan 16, 2020",MIDTN,94,FLAAT,97,W,-9.0,L,137.5,O
10,"Jan 11, 2020",FLAAT,58,N.TEX,81,L,-7.0,L,128.0,O
11,"Jan 9, 2020",FLAAT,81,RICE,76,W,0.0,,141.5,O
12,"Jan 4, 2020",UTEP,56,FLAAT,59,W,-1.5,W,130.5,U
13,"Jan 2, 2020",TEXSA,64,FLAAT,79,W,-3.5,W,146.5,U
14,"Dec 29, 2019",FLAAT,58,S.FLA,60,L,-8.0,W,125.0,U
15,"Dec 22, 2019",FLAAT,65,MERCR,50,W,-2.0,W,140.5,U
16,"Dec 19, 2019",TAMPA,35,FLAAT,84,W,-17.5,W,129.5,U
17,"Dec 14, 2019",HIGHP,64,FLAAT,81,W,-13.0,W,130.5,O
18,"Dec 4, 2019",CANIS,59,FLAAT,62,W,-3.5,L,137.5,U
19,"Dec 2, 2019",STBON,71,FLAAT,64,L,4.0,L,124.5,O
20,"Dec 1, 2019",ILCHI,70,FLAAT,71,W,-6.0,L,133.5,O
21,"Nov 29, 2019",HOLYC,69,FLAAT,87,W,-12.5,W,135.5,O
22,"Nov 20, 2019",FLAAT,70,FLAGC,72,L,3.5,L,131.0,O
23,"Nov 16, 2019",PALMB,79,FLAAT,84,W,0.0,,0.0,
24,"Nov 11, 2019",FLAAT,59,ALA,78,L,-12.5,L,154.0,U
25,"Nov 8, 2019",FLAAT,60,MIAMI,74,L,-12.0,L,141.0,U
26,"Nov 5, 2019",FLAGL,81,FLAAT,92,W,0.0,,0.0,
27,"Mar 21, 2019",FLAAT,66,CHASO,68,L,-4.5,W,142.5,U
28,"Mar 13, 2019",FLAAT,56,LATEC,57,L,-4.0,W,133.0,U
29,"Mar 9, 2019",FLAAT,61,MARSH,76,L,-6.5,L,156.0,U
