,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",FLAGC,54,LIPSC,64,L,-6.0,L,134.0,U
1,"Feb 13, 2020",FLAGC,70,KENNE,58,W,7.5,W,127.0,O
2,"Feb 8, 2020",N.FLA,69,FLAGC,60,L,5.0,L,140.0,U
3,"Feb 6, 2020",STETS,65,FLAGC,62,L,-3.0,L,119.0,O
4,"Feb 1, 2020",FLAGC,46,LIBRT,61,L,-16.5,W,113.0,U
5,"Jan 30, 2020",FLAGC,63,JAXVL,61,W,-4.5,W,123.5,O
6,"Jan 25, 2020",NJIT,56,FLAGC,54,L,1.0,L,125.5,U
7,"Jan 18, 2020",FLAGC,65,N.ALAB,70,L,-3.5,L,127.5,O
8,"Jan 16, 2020",KENNE,51,FLAGC,73,W,-9.0,W,126.0,U
9,"Jan 11, 2020",FLAGC,66,STETS,62,W,-2.5,W,122.5,O
10,"Jan 9, 2020",FLAGC,74,N.FLA,89,L,-11.0,L,140.5,O
11,"Jan 4, 2020",LIPSC,61,FLAGC,68,W,4.5,W,133.0,U
12,"Jan 2, 2020",LIBRT,59,FLAGC,46,L,13.5,W,117.5,U
13,"Dec 29, 2019",FLAGC,58,USC,71,L,-24.0,W,137.5,U
14,"Dec 21, 2019",STTHFL,62,FLAGC,84,W,0.0,,0.0,
15,"Dec 18, 2019",FLAGC,56,SD.ST,75,L,-12.0,L,133.0,U
16,"Dec 7, 2019",ROBMO,64,FLAGC,59,L,-3.0,L,128.0,U
17,"Dec 4, 2019",FLAGC,53,FLAIN,71,L,-11.0,L,140.5,U
18,"Dec 1, 2019",GASOU,72,FLAGC,57,L,5.5,L,142.5,U
19,"Nov 30, 2019",CAMBP,51,FLAGC,46,L,1.5,L,132.5,U
20,"Nov 29, 2019",NDAKOT,78,FLAGC,63,L,-3.5,L,137.5,O
21,"Nov 26, 2019",FLATK,59,FLAGC,73,W,0.0,,0.0,
22,"Nov 23, 2019",FLAGC,48,VACOM,78,L,-22.5,L,137.5,U
23,"Nov 20, 2019",FLAAT,70,FLAGC,72,W,3.5,W,131.0,O
24,"Nov 15, 2019",FLAGC,68,MERCR,84,L,-6.0,L,145.5,O
25,"Nov 11, 2019",FLAGC,49,DART,55,L,-8.5,W,139.0,U
26,"Nov 9, 2019",UMBC,65,FLAGC,61,L,-1.0,L,135.5,U
27,"Nov 5, 2019",FLAGC,67,STL,89,L,-7.0,L,133.5,O
28,"Mar 4, 2019",NJIT,83,FLAGC,78,L,-3.5,L,133.5,O
29,"Mar 1, 2019",FLAGC,77,JAXVL,74,W,1.5,W,145.0,O
