,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",FLAIN,67,S.MISS,75,L,2.5,L,145.0,U
1,"Feb 13, 2020",FLAIN,57,LATEC,60,L,-10.0,W,145.5,U
2,"Feb 8, 2020",FLAIN,66,FLAAT,59,W,-2.5,W,149.5,U
3,"Feb 5, 2020",FLAAT,50,FLAIN,69,W,-3.0,W,151.0,U
4,"Feb 1, 2020",W.KEN,76,FLAIN,81,W,2.5,W,152.0,O
5,"Jan 30, 2020",MARSH,84,FLAIN,74,L,-2.5,L,159.5,U
6,"Jan 25, 2020",FLAIN,49,CHARL,75,L,-3.5,L,142.0,U
7,"Jan 23, 2020",FLAIN,83,OLDDO,80,W,-5.0,W,139.0,O
8,"Jan 18, 2020",MIDTN,69,FLAIN,83,W,-8.0,W,154.0,U
9,"Jan 16, 2020",UAB,68,FLAIN,93,W,-2.5,W,136.5,O
10,"Jan 11, 2020",FLAIN,78,RICE,92,L,-2.0,L,159.0,O
11,"Jan 9, 2020",FLAIN,56,N.TEX,74,L,-7.5,L,142.0,U
12,"Jan 4, 2020",TEXSA,83,FLAIN,90,W,-4.5,W,159.5,O
13,"Jan 2, 2020",UTEP,67,FLAIN,69,W,-2.5,L,147.0,U
14,"Dec 28, 2019",FLAIN,62,MINN,89,L,-13.5,L,154.0,U
15,"Dec 22, 2019",FLAIN,83,STETS,67,W,8.0,W,146.5,O
16,"Dec 19, 2019",FLMEM,74,FLAIN,99,W,-37.5,L,168.5,O
17,"Dec 7, 2019",FLAIN,84,KENNE,81,W,16.0,L,142.0,O
18,"Dec 4, 2019",FLAGC,53,FLAIN,71,W,-11.0,W,140.5,U
19,"Nov 30, 2019",NH,69,FLAIN,70,W,-15.0,L,153.5,U
20,"Nov 26, 2019",KEISER,82,FLAIN,96,W,0.0,,0.0,
21,"Nov 23, 2019",NCWIL,66,FLAIN,63,L,-10.0,L,150.0,U
22,"Nov 22, 2019",EKENT,70,FLAIN,89,W,-7.5,W,165.0,U
23,"Nov 19, 2019",FLAIN,107,CLEST,61,W,7.5,W,150.5,O
24,"Nov 13, 2019",FLAIN,77,NCST,86,L,-16.5,W,165.5,U
25,"Nov 8, 2019",AVEMAR,59,FLAIN,101,W,0.0,,0.0,
26,"Nov 5, 2019",FLAIN,69,MISST,77,L,-16.5,W,159.0,U
27,"Mar 26, 2019",FLAIN,68,WISGB,98,L,-4.0,L,179.0,U
28,"Mar 23, 2019",FLAIN,87,TEXST,81,W,-5.5,W,150.5,O
29,"Mar 13, 2019",N.TEX,71,FLAIN,57,L,2.5,L,148.0,U
