,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 18, 2020",PITT,67,FLAST,82,W,-11.0,W,135.5,O
1,"Feb 15, 2020",SYRA,77,FLAST,80,W,-9.0,L,148.0,O
2,"Feb 10, 2020",FLAST,65,DUKE,70,L,-7.5,W,148.5,U
3,"Feb 8, 2020",MIAMI,81,FLAST,99,W,-13.5,W,144.0,O
4,"Feb 3, 2020",UNC,59,FLAST,65,W,-8.0,L,145.0,U
5,"Feb 1, 2020",FLAST,74,VATEC,63,W,3.0,W,134.0,O
6,"Jan 28, 2020",FLAST,56,VIRGA,61,L,2.0,L,114.0,O
7,"Jan 25, 2020",ND,84,FLAST,85,W,-9.0,L,142.0,O
8,"Jan 18, 2020",FLAST,83,MIAMI,79,W,6.0,L,142.0,O
9,"Jan 15, 2020",VIRGA,50,FLAST,54,W,-6.5,L,113.5,U
10,"Jan 8, 2020",FLAST,78,WAKE,68,W,8.0,W,142.0,O
11,"Jan 4, 2020",FLAST,78,LOUIS,65,W,-6.5,W,133.5,O
12,"Dec 31, 2019",GATEC,58,FLAST,70,W,-11.5,W,134.0,U
13,"Dec 28, 2019",N.ALAB,71,FLAST,88,W,-26.0,L,140.5,O
14,"Dec 21, 2019",S.FLA,60,FLAST,66,W,-9.5,L,128.0,U
15,"Dec 17, 2019",N.FLA,81,FLAST,98,W,-20.0,L,149.5,O
16,"Dec 8, 2019",CLEMS,53,FLAST,72,W,-10.0,W,136.0,U
17,"Dec 3, 2019",FLAST,64,INDY,80,L,-1.5,L,135.5,O
18,"Nov 30, 2019",FLAST,63,PURDU,60,W,1.5,W,124.5,U
19,"Nov 29, 2019",FLAST,60,TENN,57,W,2.0,W,136.5,U
20,"Nov 25, 2019",CHIST,56,FLAST,113,W,-40.0,W,144.5,O
21,"Nov 23, 2019",STFPA,65,FLAST,80,W,-22.0,L,140.0,O
22,"Nov 20, 2019",CHATT,53,FLAST,89,W,-19.5,W,135.0,O
23,"Nov 15, 2019",W.CAR,74,FLAST,79,W,-19.0,L,148.5,O
24,"Nov 10, 2019",FLAST,63,FLA,51,W,-5.5,W,134.5,U
25,"Nov 6, 2019",FLAST,61,PITT,63,L,4.0,L,144.0,U
26,"Mar 28, 2019",FLAST,58,GONZG,72,L,-7.5,L,148.5,U
27,"Mar 23, 2019",MURRAY,62,FLAST,90,W,-4.0,W,146.5,O
28,"Mar 21, 2019",VERMT,69,FLAST,76,W,-8.5,L,132.5,O
29,"Mar 16, 2019",FLAST,63,DUKE,73,L,-7.0,L,146.5,U
