,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",VANDY,66,FLA,84,W,-14.5,W,140.5,O
1,"Feb 12, 2020",FLA,78,TEXAM,61,W,5.5,W,125.5,O
2,"Feb 8, 2020",FLA,51,MISS,68,L,3.5,L,136.0,U
3,"Feb 5, 2020",GA,75,FLA,81,W,-9.5,L,141.5,O
4,"Feb 1, 2020",FLA,61,VANDY,55,W,11.5,L,139.0,U
5,"Jan 28, 2020",MISST,78,FLA,71,L,-6.0,L,134.0,O
6,"Jan 25, 2020",BAYLR,72,FLA,61,L,-2.0,L,132.0,O
7,"Jan 21, 2020",FLA,82,LSU,84,L,-3.0,W,142.5,O
8,"Jan 18, 2020",AUBRN,47,FLA,69,W,-2.5,W,140.5,U
9,"Jan 14, 2020",MISS,55,FLA,71,W,-11.5,W,137.0,U
10,"Jan 11, 2020",FLA,75,MIZZU,91,L,2.0,L,129.0,O
11,"Jan 7, 2020",FLA,81,S.CAR,68,W,4.5,W,136.5,O
12,"Jan 4, 2020",ALA,98,FLA,104,W,-7.5,L,150.0,O
13,"Dec 28, 2019",LONGB,63,FLA,102,W,-22.5,W,137.5,O
14,"Dec 21, 2019",UT.ST,65,FLA,62,L,-3.5,L,135.0,U
15,"Dec 17, 2019",PROV,51,FLA,83,W,-5.0,W,132.0,O
16,"Dec 7, 2019",FLA,62,BUTLR,76,L,-3.5,L,123.0,O
17,"Nov 29, 2019",MARSH,67,FLA,73,W,-19.5,L,135.5,O
18,"Nov 24, 2019",FLA,70,XAVIR,65,W,2.5,W,123.5,O
19,"Nov 22, 2019",MIAMI,58,FLA,78,W,-5.0,W,129.5,O
20,"Nov 21, 2019",FLA,70,STJOE,62,W,13.0,L,146.5,U
21,"Nov 17, 2019",FLA,59,UCONN,62,L,4.0,L,136.5,U
22,"Nov 14, 2019",TOWSN,60,FLA,66,W,-18.0,L,129.0,U
23,"Nov 10, 2019",FLAST,63,FLA,51,L,-5.5,L,134.5,U
24,"Nov 5, 2019",N.FLA,59,FLA,74,W,-21.5,L,149.5,U
25,"Mar 23, 2019",FLA,49,MICH,64,L,-5.5,L,125.5,U
26,"Mar 21, 2019",FLA,70,NEV,61,W,-3.0,W,135.5,U
27,"Mar 16, 2019",FLA,62,AUBRN,65,L,-3.5,W,132.5,U
28,"Mar 15, 2019",FLA,76,LSU,73,W,-3.5,W,136.0,O
29,"Mar 14, 2019",ARK,50,FLA,66,W,-3.5,W,134.5,U
