,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",DUQU,59,FORDM,54,L,8.0,W,120.5,U
1,"Feb 11, 2020",FORDM,49,DAVID,79,L,-13.5,L,121.0,O
2,"Feb 8, 2020",RICHM,59,FORDM,53,L,10.0,W,126.0,U
3,"Feb 1, 2020",FORDM,56,DAYTN,70,L,-24.5,W,128.5,U
4,"Jan 29, 2020",STBON,62,FORDM,55,L,6.5,L,117.0,P
5,"Jan 26, 2020",FORDM,39,STL,55,L,-15.0,L,119.0,U
6,"Jan 22, 2020",GWASH,54,FORDM,59,W,3.0,W,123.0,U
7,"Jan 19, 2020",DAVID,74,FORDM,62,L,8.5,L,121.5,O
8,"Jan 15, 2020",FORDM,56,DUQU,58,L,-17.5,W,124.0,U
9,"Jan 11, 2020",FORDM,44,STBON,64,L,-14.5,L,117.0,U
10,"Jan 5, 2020",LASAL,66,FORDM,60,L,2.5,L,121.0,O
11,"Jan 2, 2020",FORDM,46,VACOM,64,L,-19.0,W,126.0,U
12,"Dec 30, 2019",COPIN,56,FORDM,62,W,-8.5,L,133.0,U
13,"Dec 20, 2019",JMU,75,FORDM,69,L,-3.0,L,137.5,O
14,"Dec 15, 2019",TN.ST,66,FORDM,61,L,-3.5,L,129.5,U
15,"Dec 10, 2019",BRYANT,69,FORDM,61,L,-5.0,L,130.0,P
16,"Dec 7, 2019",MANHT,54,FORDM,53,L,-5.0,L,118.0,U
17,"Dec 1, 2019",MD-ES,45,FORDM,66,W,-17.5,W,118.5,U
18,"Nov 25, 2019",FORDM,64,W.KEN,69,L,-10.0,W,127.5,O
19,"Nov 23, 2019",GRCNYN,58,FORDM,70,W,3.5,W,125.0,O
20,"Nov 22, 2019",FORDM,60,NEV,74,L,-6.0,L,134.0,P
21,"Nov 16, 2019",MARST,41,FORDM,58,W,-9.0,W,115.5,U
22,"Nov 13, 2019",FDU,50,FORDM,53,W,-4.0,L,132.0,U
23,"Nov 5, 2019",STFNY,59,FORDM,68,W,-10.0,L,131.5,U
24,"Mar 13, 2019",FORDM,50,RICHM,52,L,-4.5,W,134.0,U
25,"Mar 9, 2019",FORDM,57,LASAL,72,L,-6.5,L,135.5,U
26,"Mar 6, 2019",GWASH,56,FORDM,67,W,-4.0,W,130.0,U
27,"Mar 2, 2019",FORDM,52,DAVID,77,L,-12.0,L,132.0,U
28,"Feb 27, 2019",STJOE,66,FORDM,52,L,3.0,L,137.5,U
29,"Feb 23, 2019",STBON,74,FORDM,53,L,4.0,L,127.0,P
