,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",FURMN,66,E.TEN,75,L,-5.0,L,139.0,O
1,"Feb 15, 2020",CHATT,53,FURMN,58,W,-9.5,L,141.5,U
2,"Feb 12, 2020",FURMN,86,SAMFD,71,W,11.5,W,154.0,O
3,"Feb 8, 2020",FURMN,82,W.CAR,73,W,4.5,W,155.5,U
4,"Feb 5, 2020",MERCR,57,FURMN,79,W,-12.0,W,143.0,U
5,"Jan 29, 2020",VMI,72,FURMN,74,W,-16.5,L,144.5,O
6,"Jan 25, 2020",FURMN,78,CITDL,54,W,13.5,W,159.5,U
7,"Jan 22, 2020",SAMFD,78,FURMN,101,W,-16.5,W,150.5,O
8,"Jan 17, 2020",FURMN,52,WOFFD,66,L,3.5,L,137.5,U
9,"Jan 15, 2020",W.CAR,79,FURMN,83,W,-11.5,L,151.5,O
10,"Jan 11, 2020",NCGRE,86,FURMN,73,L,-5.0,L,134.0,O
11,"Jan 8, 2020",FURMN,73,CHATT,66,W,6.5,W,137.5,O
12,"Jan 4, 2020",E.TEN,56,FURMN,65,W,-2.0,W,139.5,U
13,"Jan 1, 2020",FURMN,89,VMI,73,W,12.5,W,143.0,O
14,"Dec 20, 2019",FURMN,64,MERCR,62,W,9.0,L,145.5,U
15,"Dec 14, 2019",WINTH,73,FURMN,80,W,-9.0,L,143.0,O
16,"Dec 11, 2019",NGREN,65,FURMN,90,W,0.0,,0.0,
17,"Dec 8, 2019",USCUP,72,FURMN,84,W,-24.0,L,136.5,O
18,"Dec 5, 2019",FURMN,78,AUBRN,81,L,-12.5,W,148.0,O
19,"Dec 2, 2019",FURMN,55,S.FLA,65,L,4.0,L,131.0,U
20,"Nov 27, 2019",TEXAR,57,FURMN,58,W,-6.5,L,138.5,U
21,"Nov 26, 2019",FURMN,97,ELON,61,W,15.5,W,131.5,O
22,"Nov 22, 2019",CLMINT,45,FURMN,90,W,0.0,,0.0,
23,"Nov 19, 2019",FURMN,73,ALA,81,L,-3.5,L,153.0,O
24,"Nov 15, 2019",SOUWES,61,FURMN,83,W,-49.5,L,142.5,O
25,"Nov 12, 2019",FURMN,91,CHASO,47,W,8.5,W,144.5,U
26,"Nov 8, 2019",LOYCH,63,FURMN,87,W,-4.5,W,130.0,O
27,"Nov 5, 2019",FURMN,70,G.WEB,63,W,5.0,W,144.0,U
28,"Mar 20, 2019",WICHI,76,FURMN,70,L,-4.5,L,143.0,O
29,"Mar 10, 2019",FURMN,62,NCGRE,66,L,2.0,L,137.0,U
