,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 20, 2020",G.WEB,77,HAMPT,87,L,5.0,L,151.0,O
1,"Feb 13, 2020",WINTH,70,G.WEB,74,W,5.0,W,142.5,O
2,"Feb 10, 2020",HIGHP,55,G.WEB,86,W,-9.5,W,134.0,O
3,"Feb 8, 2020",G.WEB,88,USCUP,57,W,-1.0,W,140.0,O
4,"Feb 6, 2020",G.WEB,61,PRESB,65,L,1.5,L,138.0,U
5,"Feb 1, 2020",LONGW,84,G.WEB,81,L,-8.0,L,135.5,O
6,"Jan 30, 2020",G.WEB,70,NCASH,56,W,1.5,W,148.0,U
7,"Jan 25, 2020",CHASO,92,G.WEB,83,L,-7.0,L,135.0,O
8,"Jan 23, 2020",G.WEB,79,HIGHP,76,W,6.0,L,132.0,O
9,"Jan 18, 2020",USCUP,67,G.WEB,83,W,-7.0,W,137.5,O
10,"Jan 11, 2020",G.WEB,95,WINTH,99,L,-8.5,W,145.0,O
11,"Jan 8, 2020",RADFD,67,G.WEB,64,L,2.5,L,137.5,U
12,"Jan 4, 2020",PRESB,68,G.WEB,62,L,-11.0,L,134.5,U
13,"Jan 2, 2020",G.WEB,67,CAMBP,65,W,-3.0,W,128.5,O
14,"Dec 19, 2019",BOBJON,70,G.WEB,94,W,0.0,,0.0,
15,"Dec 15, 2019",G.WEB,46,VATEC,73,L,-14.5,L,131.0,U
16,"Dec 13, 2019",G.WEB,61,KENNE,85,L,12.0,L,134.0,O
17,"Dec 7, 2019",G.WEB,77,WOFFD,81,L,-7.5,W,133.5,O
18,"Dec 3, 2019",COKER,59,G.WEB,73,W,0.0,,0.0,
19,"Nov 27, 2019",G.WEB,67,NCOLO,62,W,-4.0,W,129.5,U
20,"Nov 26, 2019",TNMAR,64,G.WEB,81,W,-4.0,W,141.0,O
21,"Nov 22, 2019",G.WEB,69,S.CAR,74,L,-15.0,W,136.0,O
22,"Nov 19, 2019",G.WEB,52,WICHI,74,L,-15.5,L,132.0,U
23,"Nov 15, 2019",G.WEB,61,UNC,77,L,-26.5,W,148.5,U
24,"Nov 9, 2019",G.WEB,59,W.CAR,71,L,-1.5,L,151.5,U
25,"Nov 5, 2019",FURMN,70,G.WEB,63,L,5.0,L,144.0,U
26,"Mar 22, 2019",G.WEB,56,VIRGA,71,L,-22.5,W,128.0,U
27,"Mar 10, 2019",G.WEB,76,RADFD,65,W,-7.0,W,134.0,O
28,"Mar 8, 2019",G.WEB,79,CAMBP,74,W,-3.5,W,143.5,O
29,"Mar 7, 2019",HIGHP,69,G.WEB,75,W,-2.0,W,134.5,O
