,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",GMASN,50,RICHM,65,L,-11.0,L,142.0,U
1,"Feb 15, 2020",GWASH,73,GMASN,67,L,-6.5,L,134.5,O
2,"Feb 12, 2020",GMASN,72,VACOM,67,W,-14.5,W,138.0,O
3,"Feb 9, 2020",GMASN,67,UMASS,69,L,-2.0,P,141.0,U
4,"Feb 1, 2020",GMASN,65,STBON,74,L,-7.0,L,130.0,O
5,"Jan 28, 2020",RHODEI,78,GMASN,64,L,4.5,L,139.5,O
6,"Jan 25, 2020",GMASN,53,DAVID,68,L,-7.5,L,134.0,U
7,"Jan 22, 2020",UMASS,63,GMASN,73,W,-6.5,W,142.5,U
8,"Jan 18, 2020",RICHM,97,GMASN,87,L,2.0,L,134.0,O
9,"Jan 15, 2020",GMASN,67,GWASH,73,L,3.0,L,132.0,O
10,"Jan 11, 2020",GMASN,76,LASAL,63,W,-3.5,W,134.5,O
11,"Jan 8, 2020",STBON,61,GMASN,49,L,-1.0,L,130.0,U
12,"Jan 5, 2020",VACOM,72,GMASN,59,L,7.0,L,131.5,U
13,"Dec 30, 2019",GMASN,53,TCU,87,L,-10.5,L,131.0,O
14,"Dec 21, 2019",UMBC,53,GMASN,69,W,-11.0,W,132.0,U
15,"Dec 7, 2019",AMERN,53,GMASN,68,W,-9.0,W,138.0,U
16,"Dec 3, 2019",JAXST,60,GMASN,67,W,-10.0,L,133.0,U
17,"Nov 27, 2019",NMXST,64,GMASN,68,W,5.5,W,129.0,O
18,"Nov 26, 2019",GMASN,85,NEBRS,66,W,-2.0,W,135.0,O
19,"Nov 25, 2019",GMASN,60,OLDDO,53,W,-4.5,W,127.0,U
20,"Nov 22, 2019",GMASN,63,MARYL,86,L,-19.0,L,135.5,O
21,"Nov 19, 2019",LOYMD,61,GMASN,65,W,-8.5,L,143.5,U
22,"Nov 16, 2019",JMU,70,GMASN,83,W,-6.5,W,138.0,O
23,"Nov 13, 2019",LIU,74,GMASN,80,W,-8.5,L,138.5,O
24,"Nov 8, 2019",LONGW,65,GMASN,76,W,-10.5,W,136.5,O
25,"Nov 5, 2019",NAVY,55,GMASN,68,W,-11.5,W,139.5,U
26,"Mar 15, 2019",GMASN,57,STBON,68,L,-5.0,L,130.0,U
27,"Mar 14, 2019",GWASH,57,GMASN,61,W,-8.0,L,137.0,U
28,"Mar 9, 2019",GMASN,81,GWASH,65,W,4.5,W,137.5,O
29,"Mar 5, 2019",VACOM,71,GMASN,36,L,6.0,L,140.0,U
