,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",GWASH,73,GMASN,67,W,-6.5,W,134.5,O
1,"Feb 8, 2020",RHODEI,82,GWASH,51,L,9.0,L,138.0,U
2,"Feb 5, 2020",GWASH,47,STBON,72,L,-11.0,L,130.0,U
3,"Feb 1, 2020",GWASH,54,RICHM,76,L,-11.0,L,141.0,U
4,"Jan 29, 2020",DAVID,104,GWASH,107,W,4.5,W,133.5,O
5,"Jan 25, 2020",STJOE,69,GWASH,85,W,-5.0,W,144.5,O
6,"Jan 22, 2020",GWASH,54,FORDM,59,L,3.0,L,123.0,U
7,"Jan 18, 2020",GWASH,75,UMASS,51,W,-5.5,W,139.5,U
8,"Jan 15, 2020",GMASN,67,GWASH,73,W,3.0,W,132.0,O
9,"Jan 11, 2020",DUQU,66,GWASH,61,L,8.0,W,135.0,U
10,"Jan 8, 2020",GWASH,58,STL,63,L,-10.5,W,133.5,U
11,"Jan 5, 2020",STBON,71,GWASH,66,L,4.0,L,132.0,O
12,"Dec 31, 2019",GWASH,51,VERMT,76,L,-13.0,L,128.5,U
13,"Dec 28, 2019",LONGW,65,GWASH,78,W,-8.5,W,135.5,O
14,"Dec 21, 2019",HARVD,88,GWASH,75,L,6.0,L,137.5,O
15,"Dec 7, 2019",DELA,56,GWASH,66,W,3.5,W,137.5,U
16,"Dec 4, 2019",BOSTU,63,GWASH,64,W,-1.5,L,133.5,U
17,"Dec 1, 2019",GWASH,65,S.CAR,74,L,-13.5,W,139.0,P
18,"Nov 24, 2019",WISML,63,GWASH,66,W,1.5,W,131.5,U
19,"Nov 23, 2019",GWASH,78,EVANS,70,W,-7.0,W,132.5,O
20,"Nov 22, 2019",UMKC,74,GWASH,68,L,-1.0,L,122.0,O
21,"Nov 16, 2019",MORGN,68,GWASH,64,L,-8.5,L,131.5,O
22,"Nov 12, 2019",AMERN,67,GWASH,65,L,-4.0,L,135.0,U
23,"Nov 9, 2019",HOWRD,62,GWASH,76,W,-12.5,W,138.0,P
24,"Nov 5, 2019",GWASH,58,TOWSN,72,L,-5.5,L,134.5,U
25,"Mar 14, 2019",GWASH,57,GMASN,61,L,-8.0,W,137.0,U
26,"Mar 13, 2019",UMASS,64,GWASH,68,W,4.0,W,139.5,U
27,"Mar 9, 2019",GMASN,81,GWASH,65,L,4.5,L,137.5,O
28,"Mar 6, 2019",GWASH,56,FORDM,67,L,-4.0,L,130.0,U
29,"Mar 2, 2019",STBON,64,GWASH,58,L,7.0,W,129.0,U
