,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",PROV,73,GTOWN,63,L,-1.5,L,145.0,U
1,"Feb 15, 2020",GTOWN,73,BUTLR,66,W,-11.5,W,136.0,O
2,"Feb 8, 2020",DPAUL,72,GTOWN,76,W,-3.0,W,146.0,O
3,"Feb 5, 2020",SETON,78,GTOWN,71,L,4.5,L,147.0,O
4,"Feb 2, 2020",GTOWN,73,STJON,72,W,-4.0,W,153.0,U
5,"Jan 28, 2020",BUTLR,69,GTOWN,64,L,-1.0,L,141.0,U
6,"Jan 22, 2020",GTOWN,57,XAVIR,66,L,-4.0,L,147.0,U
7,"Jan 18, 2020",MARQ,84,GTOWN,80,L,-4.0,L,156.0,O
8,"Jan 15, 2020",CREIG,80,GTOWN,83,W,-3.0,P,152.5,O
9,"Jan 11, 2020",GTOWN,66,VILLA,80,L,-8.0,L,146.5,U
10,"Jan 8, 2020",STJON,66,GTOWN,87,W,-4.5,W,156.5,U
11,"Jan 3, 2020",GTOWN,62,SETON,78,L,-6.5,L,148.0,U
12,"Dec 31, 2019",GTOWN,60,PROV,76,L,-2.5,L,148.0,U
13,"Dec 28, 2019",AMERN,60,GTOWN,80,W,-17.0,W,155.5,U
14,"Dec 21, 2019",SAMFD,71,GTOWN,99,W,-18.5,W,161.5,O
15,"Dec 17, 2019",UMBC,55,GTOWN,81,W,-14.5,W,144.5,U
16,"Dec 14, 2019",SYRA,79,GTOWN,89,W,-3.0,W,145.5,O
17,"Dec 7, 2019",GTOWN,91,SMU,74,W,-4.0,W,143.0,O
18,"Dec 4, 2019",GTOWN,81,OKST,74,W,-11.0,W,144.0,O
19,"Nov 30, 2019",NCGRE,65,GTOWN,61,L,-6.0,L,141.0,U
20,"Nov 22, 2019",GTOWN,73,DUKE,81,L,-13.0,W,152.5,O
21,"Nov 21, 2019",TEXAS,66,GTOWN,82,W,6.5,W,141.5,O
22,"Nov 17, 2019",GAST,83,GTOWN,91,W,-11.0,L,152.5,O
23,"Nov 14, 2019",PENST,81,GTOWN,66,L,-2.5,L,150.0,U
24,"Nov 9, 2019",C.ARK,78,GTOWN,89,W,-21.5,L,157.0,O
25,"Nov 6, 2019",MTSTM,68,GTOWN,81,W,-21.5,L,154.5,U
26,"Mar 20, 2019",HARVD,71,GTOWN,68,L,-6.0,L,153.0,U
27,"Mar 14, 2019",GTOWN,57,SETON,73,L,-3.5,L,151.0,U
28,"Mar 9, 2019",GTOWN,86,MARQ,84,W,-9.0,W,154.0,O
29,"Mar 6, 2019",GTOWN,69,DPAUL,101,L,-2.0,L,158.0,O
