,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",APPST,62,GASOU,57,L,-5.5,L,141.0,U
1,"Feb 13, 2020",COCAR,69,GASOU,79,W,-6.0,W,158.0,U
2,"Feb 8, 2020",GASOU,86,ULLAF,79,W,1.5,W,151.0,O
3,"Feb 6, 2020",GASOU,67,ULMON,65,W,7.0,L,138.5,U
4,"Feb 1, 2020",S.ALA,79,GASOU,69,L,-4.5,L,143.0,O
5,"Jan 30, 2020",TROY,57,GASOU,86,W,-11.0,W,146.0,U
6,"Jan 25, 2020",GAST,82,GASOU,77,L,-2.0,L,151.5,O
7,"Jan 18, 2020",GASOU,68,S.ALA,74,L,-1.5,L,136.5,O
8,"Jan 16, 2020",GASOU,82,TROY,66,W,6.0,W,144.5,O
9,"Jan 11, 2020",ULLAF,51,GASOU,71,W,-11.0,W,148.5,U
10,"Jan 9, 2020",ULMON,56,GASOU,67,W,-11.0,P,141.5,U
11,"Jan 6, 2020",GASOU,73,ARKLR,79,L,-2.5,L,144.5,O
12,"Jan 4, 2020",GASOU,72,APPST,74,L,-1.5,L,142.0,O
13,"Jan 2, 2020",GASOU,70,COCAR,67,W,-3.0,W,155.0,U
14,"Dec 23, 2019",GASOU,64,GA,73,L,-8.5,L,160.5,U
15,"Dec 21, 2019",TEXAR,74,GASOU,77,W,-3.0,P,147.5,O
16,"Dec 19, 2019",TEXST,64,GASOU,67,W,-2.0,W,141.0,U
17,"Dec 15, 2019",GASOU,51,BRAD,81,L,-5.0,L,147.5,U
18,"Dec 6, 2019",CARVER,70,GASOU,100,W,0.0,,0.0,
19,"Dec 1, 2019",GASOU,72,FLAGC,57,W,5.5,W,142.5,U
20,"Nov 30, 2019",NDAKOT,80,GASOU,68,L,-10.5,L,153.0,U
21,"Nov 29, 2019",CAMBP,74,GASOU,84,W,-8.5,W,146.5,O
22,"Nov 19, 2019",MERCR,88,GASOU,98,W,-9.0,W,158.5,O
23,"Nov 15, 2019",RADFD,73,GASOU,76,W,-3.5,L,146.5,O
24,"Nov 11, 2019",GASOU,77,N.FLA,80,L,3.0,L,159.0,U
25,"Nov 8, 2019",REINH,55,GASOU,109,W,0.0,,0.0,
26,"Nov 5, 2019",GASOU,74,AUBRN,83,L,-14.0,W,151.0,O
27,"Mar 16, 2019",GASOU,58,TEXAR,67,L,4.5,L,146.0,U
28,"Mar 15, 2019",ULMON,67,GASOU,81,W,-2.5,W,154.5,U
29,"Mar 9, 2019",GAST,90,GASOU,85,L,-5.5,L,158.0,O
