,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",COCAR,80,GAST,92,W,-8.0,W,160.0,O
1,"Feb 13, 2020",APPST,65,GAST,76,W,-5.5,W,144.5,U
2,"Feb 8, 2020",GAST,77,ULMON,69,W,7.5,W,141.0,O
3,"Feb 6, 2020",GAST,78,ULLAF,80,L,4.0,L,155.5,O
4,"Feb 1, 2020",TROY,84,GAST,78,L,-13.0,L,148.5,O
5,"Jan 30, 2020",S.ALA,73,GAST,76,W,-5.5,L,143.5,O
6,"Jan 25, 2020",GAST,82,GASOU,77,W,-2.0,W,151.5,O
7,"Jan 18, 2020",GAST,65,TROY,75,L,7.5,L,148.0,U
8,"Jan 16, 2020",GAST,72,S.ALA,63,W,-2.0,W,141.5,U
9,"Jan 11, 2020",ULMON,62,GAST,84,W,-12.5,W,142.0,O
10,"Jan 9, 2020",ULLAF,52,GAST,90,W,-10.0,W,152.5,U
11,"Jan 6, 2020",GAST,87,ARKST,90,L,3.5,L,144.5,O
12,"Jan 4, 2020",GAST,72,COCAR,74,L,1.5,L,153.5,U
13,"Jan 2, 2020",GAST,69,APPST,60,W,-3.0,W,144.5,U
14,"Dec 30, 2019",MIDGA,53,GAST,83,W,0.0,,0.0,
15,"Dec 23, 2019",GAST,76,SMU,85,L,-9.0,P,143.0,O
16,"Dec 21, 2019",TEXST,69,GAST,81,W,-2.5,W,137.5,O
17,"Dec 19, 2019",TEXAR,77,GAST,83,W,-3.0,W,141.5,O
18,"Dec 7, 2019",GAST,73,MERCR,61,W,2.0,W,151.5,U
19,"Dec 3, 2019",DART,80,GAST,83,W,-6.5,L,135.0,O
20,"Nov 27, 2019",CHARL,78,GAST,81,W,-5.5,L,135.0,O
21,"Nov 23, 2019",GAST,69,CALBAP,60,W,-2.0,W,154.5,U
22,"Nov 22, 2019",GAST,83,PVA&M,74,W,7.0,W,149.0,O
23,"Nov 17, 2019",GAST,83,GTOWN,91,L,-11.0,W,152.5,O
24,"Nov 15, 2019",GAST,63,DUKE,74,L,-28.5,W,152.0,U
25,"Nov 9, 2019",GAST,80,COLCH,84,L,-7.0,W,141.5,O
26,"Nov 6, 2019",BREWT,35,GAST,104,W,0.0,,0.0,
27,"Mar 22, 2019",GAST,55,HOUST,84,L,-12.5,L,145.5,U
28,"Mar 17, 2019",TEXAR,64,GAST,73,W,-4.0,W,135.0,O
29,"Mar 16, 2019",TEXST,46,GAST,59,W,-1.5,W,138.5,U
