,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",GATEC,86,WAKE,79,W,-1.5,W,139.5,O
1,"Feb 12, 2020",LOUIS,58,GATEC,64,W,6.0,W,137.0,U
2,"Feb 8, 2020",GATEC,64,PITT,73,L,-2.0,L,130.5,O
3,"Feb 4, 2020",VATEC,57,GATEC,76,W,-2.5,W,130.0,O
4,"Feb 1, 2020",GATEC,72,ND,80,L,-7.0,L,141.5,O
5,"Jan 28, 2020",MORHS,54,GATEC,82,W,0.0,,0.0,
6,"Jan 25, 2020",NCST,58,GATEC,64,W,-1.5,W,140.5,U
7,"Jan 22, 2020",GATEC,64,LOUIS,68,L,-13.0,W,133.5,U
8,"Jan 18, 2020",VIRGA,63,GATEC,58,L,2.0,L,110.0,O
9,"Jan 15, 2020",ND,78,GATEC,74,L,-2.0,L,134.0,O
10,"Jan 11, 2020",GATEC,71,BC,52,W,4.0,W,132.0,U
11,"Jan 8, 2020",DUKE,73,GATEC,64,L,11.5,W,138.5,U
12,"Jan 4, 2020",GATEC,96,UNC,83,W,-7.0,W,137.0,O
13,"Dec 31, 2019",GATEC,58,FLAST,70,L,-11.5,L,134.0,U
14,"Dec 25, 2019",GATEC,70,HAWAI,53,W,-1.0,W,136.0,U
15,"Dec 23, 2019",HOUST,70,GATEC,59,L,7.5,L,133.5,U
16,"Dec 22, 2019",GATEC,74,BOISE,60,W,-1.5,W,136.5,U
17,"Dec 18, 2019",BALL,65,GATEC,47,L,-5.0,L,132.5,U
18,"Dec 14, 2019",GATEC,53,KENTY,67,L,-14.5,W,135.0,U
19,"Dec 7, 2019",SYRA,97,GATEC,63,L,-3.0,L,127.5,O
20,"Dec 4, 2019",NEBRS,56,GATEC,73,W,-8.5,W,142.0,U
21,"Dec 1, 2019",BCOOK,65,GATEC,68,W,-19.0,L,138.5,U
22,"Nov 25, 2019",ARK,62,GATEC,61,L,2.5,W,135.0,U
23,"Nov 20, 2019",GATEC,78,GA,82,L,-5.5,W,147.0,O
24,"Nov 11, 2019",ELON,41,GATEC,64,W,-22.5,W,141.0,U
25,"Nov 5, 2019",GATEC,82,NCST,81,W,-5.5,W,151.0,O
26,"Mar 12, 2019",ND,78,GATEC,71,L,1.5,L,126.5,O
27,"Mar 6, 2019",GATEC,63,NCST,61,W,-11.5,W,146.5,U
28,"Mar 3, 2019",BC,78,GATEC,81,W,-2.5,W,134.5,O
29,"Feb 27, 2019",GATEC,51,VIRGA,81,L,-18.5,L,121.0,O
