,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",AUBRN,55,GA,65,W,4.0,W,150.0,U
1,"Feb 15, 2020",GA,69,TEXAM,74,L,1.0,L,136.5,O
2,"Feb 12, 2020",S.CAR,75,GA,59,L,-2.5,L,153.5,U
3,"Feb 8, 2020",ALA,105,GA,102,L,-1.5,L,162.0,O
4,"Feb 5, 2020",GA,75,FLA,81,L,-9.5,W,141.5,O
5,"Feb 1, 2020",TEXAM,48,GA,63,W,-6.5,W,134.0,U
6,"Jan 28, 2020",GA,69,MIZZU,72,L,-4.5,W,137.0,O
7,"Jan 25, 2020",MISS,70,GA,60,L,-6.5,L,145.0,U
8,"Jan 21, 2020",GA,79,KENTY,89,L,-12.0,W,144.5,O
9,"Jan 18, 2020",GA,59,MISST,91,L,-6.5,L,140.0,O
10,"Jan 15, 2020",TENN,63,GA,80,W,-2.5,W,137.0,O
11,"Jan 11, 2020",GA,60,AUBRN,82,L,-10.5,L,153.0,U
12,"Jan 7, 2020",KENTY,78,GA,69,L,3.5,L,142.0,O
13,"Jan 4, 2020",GA,65,MEMPH,62,W,-7.5,W,153.5,U
14,"Dec 30, 2019",APEAY,48,GA,78,W,-13.0,W,154.5,U
15,"Dec 23, 2019",GASOU,64,GA,73,W,-8.5,W,160.5,U
16,"Dec 20, 2019",SMU,85,GA,87,W,-5.0,L,150.0,O
17,"Dec 14, 2019",GA,59,ARZST,79,L,-5.0,L,156.0,U
18,"Dec 4, 2019",NCCEN,59,GA,95,W,-22.0,W,147.5,O
19,"Nov 27, 2019",GA,80,CHAMI,77,W,24.0,L,153.5,O
20,"Nov 26, 2019",GA,85,MICHS,93,L,-14.0,W,150.0,O
21,"Nov 25, 2019",GA,61,DAYTN,80,L,-3.0,L,156.5,U
22,"Nov 20, 2019",GATEC,78,GA,82,W,-5.5,L,147.0,O
23,"Nov 15, 2019",DELST,66,GA,100,W,-32.5,W,147.0,O
24,"Nov 12, 2019",CITDL,86,GA,95,W,-28.0,L,170.5,O
25,"Nov 5, 2019",W.CAR,72,GA,91,W,-15.5,W,158.5,O
26,"Mar 13, 2019",GA,61,MIZZU,71,L,-3.5,L,129.0,O
27,"Mar 9, 2019",GA,46,S.CAR,66,L,-6.0,L,144.0,U
28,"Mar 6, 2019",MIZZU,64,GA,39,L,-3.5,L,135.0,U
29,"Mar 2, 2019",GA,61,FLA,55,W,-11.0,W,134.5,U
