,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",GONZG,89,PEPPR,77,W,15.0,L,164.0,O
1,"Feb 8, 2020",GONZG,90,STMAR,60,W,5.0,W,149.0,O
2,"Feb 6, 2020",LOYMA,67,GONZG,85,W,-25.5,L,140.0,O
3,"Feb 1, 2020",GONZG,83,SF,79,W,10.0,L,156.5,O
4,"Jan 30, 2020",GONZG,87,SACLA,72,W,18.0,L,157.0,O
5,"Jan 25, 2020",PACIF,59,GONZG,92,W,-22.5,W,143.5,O
6,"Jan 18, 2020",BYU,69,GONZG,92,W,-13.0,W,158.0,O
7,"Jan 16, 2020",SACLA,54,GONZG,104,W,-20.0,W,155.0,O
8,"Jan 11, 2020",GONZG,87,LOYMA,62,W,18.5,W,142.0,O
9,"Jan 9, 2020",GONZG,94,SD,50,W,15.5,W,146.0,U
10,"Jan 4, 2020",PEPPR,70,GONZG,75,W,-20.5,L,162.0,U
11,"Jan 2, 2020",GONZG,85,PORTL,72,W,23.5,L,147.5,O
12,"Dec 30, 2019",DETRT,72,GONZG,93,W,-34.5,L,159.5,O
13,"Dec 21, 2019",EWASH,77,GONZG,112,W,-20.5,W,164.0,O
14,"Dec 18, 2019",UNC,81,GONZG,94,W,-14.0,L,147.0,O
15,"Dec 14, 2019",GONZG,84,ARIZ,80,W,-2.0,W,150.5,O
16,"Dec 8, 2019",GONZG,83,WASH,76,W,4.5,W,144.0,O
17,"Dec 4, 2019",TEXSO,62,GONZG,101,W,-30.5,W,152.0,O
18,"Nov 29, 2019",MICH,82,GONZG,64,L,-4.5,L,144.0,O
19,"Nov 28, 2019",GONZG,73,OREG,72,W,4.0,L,144.0,O
20,"Nov 27, 2019",GONZG,94,S.MISS,69,W,25.0,P,138.5,O
21,"Nov 23, 2019",CSBAK,49,GONZG,77,W,-27.0,W,143.0,U
22,"Nov 19, 2019",TEXAR,66,GONZG,72,W,-26.0,L,145.5,U
23,"Nov 15, 2019",GONZG,79,TEXAM,49,W,8.5,W,144.0,U
24,"Nov 12, 2019",NDAKOT,66,GONZG,97,W,-29.0,W,149.0,O
25,"Nov 9, 2019",ARKPB,60,GONZG,110,W,-36.5,W,139.5,O
26,"Nov 5, 2019",ALAST,64,GONZG,95,W,-36.0,L,151.5,O
27,"Mar 30, 2019",TEXTK,75,GONZG,69,L,-5.0,L,140.0,O
28,"Mar 28, 2019",FLAST,58,GONZG,72,W,-7.5,W,148.5,U
29,"Mar 23, 2019",BAYLR,71,GONZG,83,W,-14.5,L,147.5,O
