,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 17, 2020",GRAMB,79,TEXSO,93,L,-6.0,L,144.0,O
1,"Feb 15, 2020",GRAMB,69,PVA&M,75,L,-8.5,W,135.5,O
2,"Feb 10, 2020",ALCRN,71,GRAMB,80,W,-4.5,W,141.5,O
3,"Feb 8, 2020",SUTHR,62,GRAMB,66,W,-3.5,W,132.5,U
4,"Feb 3, 2020",GRAMB,90,MSVAL,65,W,10.5,W,152.0,O
5,"Feb 1, 2020",GRAMB,49,ARKPB,47,W,5.0,L,126.5,U
6,"Jan 25, 2020",GRAMB,53,JACKS,71,L,-2.0,L,138.0,U
7,"Jan 20, 2020",TEXSO,68,GRAMB,61,L,1.0,L,148.0,U
8,"Jan 18, 2020",PVA&M,64,GRAMB,57,L,1.5,L,139.5,U
9,"Jan 13, 2020",GRAMB,69,ALCRN,87,L,2.5,L,141.0,O
10,"Jan 11, 2020",GRAMB,61,SUTHR,56,W,2.0,W,137.0,U
11,"Jan 6, 2020",ALAST,63,GRAMB,68,W,-8.5,L,138.5,U
12,"Jan 4, 2020",ALA&M,60,GRAMB,70,W,-7.0,W,148.0,U
13,"Dec 23, 2019",GRAMB,53,DAYTN,81,L,-26.0,L,148.0,U
14,"Dec 17, 2019",GRAMB,72,MARQ,93,L,-22.5,W,147.5,O
15,"Dec 14, 2019",RUST,54,GRAMB,82,W,0.0,,0.0,
16,"Dec 10, 2019",GRAMB,66,ULMON,61,W,-8.0,W,139.0,U
17,"Dec 7, 2019",GRAMB,67,LOYMA,83,L,-10.0,L,131.5,O
18,"Dec 4, 2019",PQUIN,69,GRAMB,79,W,0.0,,0.0,
19,"Nov 29, 2019",GRAMB,58,SABAR,67,L,-15.5,W,143.5,U
20,"Nov 26, 2019",GRAMB,74,PORST,84,L,-7.0,L,154.0,O
21,"Nov 23, 2019",GRAMB,58,OREST,80,L,-21.0,L,146.5,U
22,"Nov 20, 2019",GRAMB,76,SJ.ST,83,L,-2.5,L,141.0,O
23,"Nov 13, 2019",GRAMB,81,SELA,70,W,-2.0,W,138.0,O
24,"Nov 8, 2019",ECCLES,52,GRAMB,147,W,0.0,,0.0,
25,"Nov 6, 2019",ETXBPT,70,GRAMB,102,W,0.0,,0.0,
26,"Mar 20, 2019",GRAMB,73,UTRGV,74,L,-10.0,W,144.0,O
27,"Mar 15, 2019",GRAMB,71,PVA&M,81,L,-4.5,L,144.0,O
28,"Mar 12, 2019",ARKPB,52,GRAMB,59,W,-5.0,W,134.0,U
29,"Mar 9, 2019",ALA&M,58,GRAMB,66,W,-13.0,L,130.5,U
