,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",CHIST,47,GRCNYN,71,W,-21.5,W,140.0,U
1,"Feb 13, 2020",UMKC,66,GRCNYN,71,W,-5.5,L,135.5,O
2,"Feb 8, 2020",GRCNYN,103,CALBAP,98,W,-6.5,W,147.0,O
3,"Feb 1, 2020",GRCNYN,52,NMXST,72,L,-11.0,L,133.0,U
4,"Jan 30, 2020",GRCNYN,87,UTRGV,79,W,-1.5,W,142.5,O
5,"Jan 25, 2020",UTVAL,73,GRCNYN,69,L,-6.0,L,137.5,O
6,"Jan 23, 2020",SEATT,77,GRCNYN,80,W,-2.0,W,138.5,O
7,"Jan 19, 2020",GRCNYN,69,UMKC,66,W,-2.5,W,133.5,O
8,"Jan 16, 2020",GRCNYN,76,CHIST,64,W,17.0,L,146.0,U
9,"Jan 11, 2020",CALBAP,61,GRCNYN,57,L,-3.0,L,148.0,U
10,"Jan 4, 2020",GRCNYN,62,CSBAK,69,L,-2.5,L,136.5,U
11,"Dec 21, 2019",E.ILL,63,GRCNYN,85,W,-3.0,W,141.0,O
12,"Dec 17, 2019",GRCNYN,71,NEWMX,91,L,-11.0,L,148.0,O
13,"Dec 12, 2019",NIOWA,82,GRCNYN,58,L,5.5,L,133.0,O
14,"Dec 8, 2019",LIBRT,70,GRCNYN,61,L,8.5,L,124.0,O
15,"Dec 3, 2019",MTSTM,67,GRCNYN,75,W,-6.0,W,129.0,O
16,"Nov 30, 2019",IPFW,71,GRCNYN,60,L,-6.5,L,142.0,U
17,"Nov 25, 2019",GRCNYN,68,ILLST,63,W,-3.5,W,136.0,U
18,"Nov 23, 2019",GRCNYN,58,FORDM,70,L,3.5,L,125.0,O
19,"Nov 22, 2019",VALPO,78,GRCNYN,74,L,1.0,L,141.0,O
20,"Nov 19, 2019",MONST,56,GRCNYN,69,W,-5.5,W,134.5,U
21,"Nov 16, 2019",ARKPB,54,GRCNYN,67,W,-16.0,L,136.0,U
22,"Nov 13, 2019",GRCNYN,61,SD.ST,86,L,-12.0,L,133.5,O
23,"Nov 8, 2019",ILL,83,GRCNYN,71,L,6.5,L,146.0,O
24,"Nov 5, 2019",DAVEN,82,GRCNYN,73,L,0.0,,0.0,
25,"Mar 20, 2019",GRCNYN,63,W.VA,77,L,-5.5,L,154.0,U
26,"Mar 16, 2019",GRCNYN,57,NMXST,89,L,-4.0,L,137.0,O
27,"Mar 15, 2019",GRCNYN,78,UTVAL,74,W,-1.0,W,145.0,O
28,"Mar 14, 2019",SEATT,75,GRCNYN,84,W,-6.0,W,137.5,O
29,"Mar 9, 2019",GRCNYN,76,SEATT,83,L,3.0,L,137.0,O
