,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",HAMPT,68,LONGW,76,L,-4.0,L,151.5,U
1,"Feb 13, 2020",HAMPT,49,CAMBP,75,L,-5.5,L,151.5,U
2,"Feb 10, 2020",NCASH,70,HAMPT,80,W,-2.5,W,161.5,U
3,"Feb 8, 2020",HAMPT,72,CHASO,85,L,-3.5,L,154.0,O
4,"Feb 6, 2020",HAMPT,85,HIGHP,88,L,2.5,L,149.5,O
5,"Feb 1, 2020",PRESB,81,HAMPT,87,W,-5.5,W,152.5,O
6,"Jan 25, 2020",HAMPT,79,RADFD,83,L,-9.0,W,147.0,O
7,"Jan 23, 2020",CAMBP,74,HAMPT,83,W,-1.5,W,149.0,O
8,"Jan 18, 2020",HAMPT,88,NCASH,86,W,-6.0,W,159.5,O
9,"Jan 16, 2020",WINTH,116,HAMPT,95,L,8.0,L,156.5,O
10,"Jan 11, 2020",LONGW,80,HAMPT,83,W,-3.0,P,147.5,O
11,"Jan 8, 2020",HAMPT,73,USCUP,83,L,1.5,L,146.0,O
12,"Jan 4, 2020",CHASO,85,HAMPT,92,W,-1.0,W,141.0,O
13,"Dec 28, 2019",STPET,67,HAMPT,70,W,2.0,W,136.0,O
14,"Dec 21, 2019",HAMPT,64,KENT,103,L,-19.5,L,145.0,O
15,"Dec 18, 2019",HAMPT,53,S.ILL,75,L,-9.0,L,132.5,U
16,"Dec 7, 2019",NORFK,53,HAMPT,64,W,-2.5,W,142.0,U
17,"Dec 5, 2019",HOWRD,94,HAMPT,91,L,-11.5,L,148.0,O
18,"Dec 3, 2019",RICHM,80,HAMPT,63,L,13.5,L,146.5,U
19,"Nov 29, 2019",HAMPT,57,CSBAK,70,L,-7.0,L,145.0,U
20,"Nov 26, 2019",HAMPT,73,SF,89,L,-19.5,W,160.5,O
21,"Nov 23, 2019",HAMPT,71,ILL,120,L,-20.0,L,152.5,O
22,"Nov 21, 2019",REGENT,50,HAMPT,93,W,0.0,,0.0,
23,"Nov 15, 2019",HAMPT,65,W&M,78,L,-6.0,L,154.5,U
24,"Nov 12, 2019",NENEAP,63,HAMPT,95,W,0.0,,0.0,
25,"Nov 6, 2019",MIDATL,52,HAMPT,112,W,0.0,,0.0,
26,"Apr 2, 2019",HAMPT,78,MARSH,80,L,-7.0,W,173.0,U
27,"Mar 28, 2019",HAMPT,82,NJIT,70,W,-3.5,W,155.0,U
28,"Mar 26, 2019",CHASO,67,HAMPT,73,W,-2.0,W,158.0,U
29,"Mar 21, 2019",STFNY,72,HAMPT,81,W,-8.0,W,157.0,U
