,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",LOWELL,74,HARTF,67,L,-3.0,L,145.0,U
1,"Feb 12, 2020",ALBNY,60,HARTF,66,W,-3.0,W,136.0,U
2,"Feb 8, 2020",VERMT,69,HARTF,68,L,13.0,W,130.0,O
3,"Feb 5, 2020",HARTF,59,UMBC,70,L,-2.5,L,133.5,U
4,"Feb 1, 2020",HARTF,55,MAINE,49,W,3.5,W,130.0,U
5,"Jan 29, 2020",BINGH,57,HARTF,73,W,-7.5,W,141.5,U
6,"Jan 25, 2020",HARTF,62,ALBNY,48,W,-7.0,W,136.5,U
7,"Jan 22, 2020",UMBC,69,HARTF,60,L,-3.5,L,133.5,U
8,"Jan 18, 2020",HARTF,57,VERMT,74,L,-17.5,W,131.0,P
9,"Jan 15, 2020",STONY,65,HARTF,68,W,7.5,W,138.5,U
10,"Jan 8, 2020",HARTF,80,LOWELL,68,W,-6.0,W,143.5,O
11,"Jan 4, 2020",NH,52,HARTF,61,W,0.0,W,138.5,U
12,"Dec 31, 2019",HARTF,68,BOWLG,81,L,-13.0,P,140.5,O
13,"Dec 29, 2019",HARTF,67,NWEST,66,W,-17.0,W,134.0,U
14,"Dec 22, 2019",CORNL,76,HARTF,80,W,1.0,W,131.0,O
15,"Dec 14, 2019",WAGNR,63,HARTF,71,W,-4.0,W,142.5,U
16,"Dec 8, 2019",SACRD,79,HARTF,62,L,3.0,L,151.0,U
17,"Dec 5, 2019",STFNY,84,HARTF,78,L,-3.5,L,135.0,O
18,"Nov 30, 2019",HARTF,55,TEXST,69,L,-15.0,W,126.5,U
19,"Nov 27, 2019",HARTF,58,SMU,90,L,-20.0,L,126.5,O
20,"Nov 24, 2019",MERRIM,62,HARTF,58,L,-2.0,L,122.5,U
21,"Nov 21, 2019",EMRSON,63,HARTF,78,W,0.0,,0.0,
22,"Nov 18, 2019",HARTF,50,OAKLN,60,L,-9.0,L,128.5,U
23,"Nov 16, 2019",GORDON,79,HARTF,86,W,0.0,,0.0,
24,"Nov 12, 2019",HARTF,62,MARST,51,W,-2.0,W,126.5,U
25,"Nov 7, 2019",WINTH,67,HARTF,57,L,3.0,L,155.0,U
26,"Nov 5, 2019",HARTF,74,CCONN,59,W,1.5,W,143.5,U
27,"Mar 12, 2019",HARTF,85,UMBC,90,L,1.0,L,130.5,O
28,"Mar 9, 2019",LOWELL,70,HARTF,78,W,-8.5,L,150.0,U
29,"Mar 5, 2019",STONY,68,HARTF,63,L,-2.0,L,143.5,U
