,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",COLUM,73,HARVD,77,W,-14.5,L,141.5,O
1,"Feb 14, 2020",CORNL,63,HARVD,85,W,-12.5,W,136.5,O
2,"Feb 8, 2020",HARVD,71,BROWN,72,L,4.5,L,142.0,O
3,"Feb 7, 2020",HARVD,78,YALE,77,W,-6.0,W,137.0,O
4,"Feb 1, 2020",HARVD,69,PRNCE,70,L,1.5,L,141.5,U
5,"Jan 31, 2020",HARVD,72,PENN,75,L,1.5,L,143.0,O
6,"Jan 25, 2020",HARVD,70,DART,66,W,4.5,L,131.0,O
7,"Jan 18, 2020",DART,62,HARVD,67,W,-11.0,L,131.0,U
8,"Jan 4, 2020",UCI,73,HARVD,77,W,-5.5,L,135.0,O
9,"Dec 30, 2019",HARVD,84,SF,81,W,-6.5,W,150.5,O
10,"Dec 29, 2019",HARVD,71,CAL,63,W,2.5,W,134.0,P
11,"Dec 22, 2019",HARVD,60,HOWRD,55,W,20.0,L,148.0,U
12,"Dec 21, 2019",HARVD,88,GWASH,75,W,6.0,W,137.5,O
13,"Dec 7, 2019",UMASS,55,HARVD,89,W,-8.0,W,137.5,O
14,"Dec 1, 2019",HARVD,62,USC,77,L,-1.5,L,143.0,U
15,"Nov 29, 2019",MARYL,80,HARVD,73,L,9.5,W,139.0,O
16,"Nov 28, 2019",TEXAM,51,HARVD,62,W,-3.0,W,129.0,U
17,"Nov 22, 2019",HARVD,82,HOLYC,74,W,16.0,L,139.0,O
18,"Nov 16, 2019",BUFF,88,HARVD,76,L,-2.0,L,138.5,O
19,"Nov 14, 2019",SIENA,56,HARVD,59,W,-10.5,L,140.0,U
20,"Nov 10, 2019",MAINE,46,HARVD,67,W,-19.0,W,134.0,U
21,"Nov 8, 2019",HARVD,79,NEAST,84,L,2.0,L,139.5,O
22,"Nov 5, 2019",MIT,27,HARVD,84,W,0.0,,0.0,
23,"Mar 24, 2019",HARVD,77,NCST,78,L,-9.5,W,152.5,O
24,"Mar 20, 2019",HARVD,71,GTOWN,68,W,-6.0,W,153.0,U
25,"Mar 17, 2019",YALE,97,HARVD,85,L,4.0,L,144.0,O
26,"Mar 16, 2019",PENN,58,HARVD,66,W,1.5,W,134.5,U
27,"Mar 9, 2019",HARVD,83,COLUM,81,W,3.0,L,138.0,O
28,"Mar 8, 2019",HARVD,59,CORNL,72,L,5.5,L,136.5,U
29,"Mar 2, 2019",PRNCE,58,HARVD,66,W,-6.5,W,133.5,U
