,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",USCUP,54,HIGHP,62,W,-1.0,W,137.5,U
1,"Feb 13, 2020",HIGHP,63,CHASO,66,L,-8.5,W,137.0,U
2,"Feb 10, 2020",HIGHP,55,G.WEB,86,L,-9.5,L,134.0,O
3,"Feb 8, 2020",RADFD,81,HIGHP,70,L,7.0,L,134.0,O
4,"Feb 6, 2020",HAMPT,85,HIGHP,88,W,2.5,W,149.5,O
5,"Jan 30, 2020",HIGHP,62,CAMBP,57,W,-9.0,W,132.0,U
6,"Jan 25, 2020",LONGW,72,HIGHP,62,L,1.0,L,135.0,U
7,"Jan 23, 2020",G.WEB,79,HIGHP,76,L,6.0,W,132.0,O
8,"Jan 20, 2020",HIGHP,70,USCUP,62,W,-6.5,W,138.0,U
9,"Jan 18, 2020",CHASO,79,HIGHP,60,L,0.0,L,134.5,O
10,"Jan 16, 2020",HIGHP,68,NCASH,66,W,-13.5,W,144.0,U
11,"Jan 11, 2020",HIGHP,62,PRESB,77,L,-5.0,L,133.5,O
12,"Jan 8, 2020",WINTH,79,HIGHP,57,L,11.0,L,146.0,U
13,"Jan 4, 2020",HIGHP,62,RADFD,73,L,-16.5,W,134.0,O
14,"Dec 30, 2019",HIGHP,58,TEXAS,89,L,-26.5,L,126.5,O
15,"Dec 21, 2019",BELMAB,66,HIGHP,92,W,0.0,,0.0,
16,"Dec 18, 2019",VALPO,87,HIGHP,72,L,8.5,L,137.0,O
17,"Dec 14, 2019",HIGHP,64,FLAAT,81,L,-13.0,L,130.5,O
18,"Dec 5, 2019",ELON,66,HIGHP,70,W,4.0,W,127.5,O
19,"Dec 2, 2019",HIGHP,70,N.FLA,93,L,-16.0,L,143.5,O
20,"Nov 26, 2019",GRNBRO,73,HIGHP,90,W,0.0,,0.0,
21,"Nov 23, 2019",EWASH,90,HIGHP,74,L,7.0,L,136.0,O
22,"Nov 20, 2019",HIGHP,55,STL,67,L,-22.5,W,126.5,U
23,"Nov 18, 2019",HIGHP,51,BELMT,90,L,-26.0,L,144.0,U
24,"Nov 13, 2019",HIGHP,33,BC,59,L,-19.0,L,135.0,U
25,"Nov 9, 2019",HIGHP,61,WOFFD,89,L,-17.0,L,140.5,O
26,"Nov 5, 2019",W&M,70,HIGHP,56,L,2.5,L,141.0,U
27,"Mar 7, 2019",HIGHP,69,G.WEB,75,L,-2.0,L,134.5,O
28,"Mar 2, 2019",HIGHP,79,NCASH,74,W,8.5,L,120.0,O
29,"Feb 27, 2019",RADFD,72,HIGHP,54,L,2.0,L,130.0,U
