,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",NCWIL,64,HOFST,78,W,-13.5,W,144.0,U
1,"Feb 13, 2020",COLCH,63,HOFST,76,W,-4.0,W,145.0,U
2,"Feb 8, 2020",NEAST,71,HOFST,75,W,-3.0,W,147.5,U
3,"Feb 1, 2020",HOFST,83,W&M,60,W,-2.5,W,146.0,U
4,"Jan 30, 2020",HOFST,86,ELON,63,W,6.0,W,144.5,O
5,"Jan 25, 2020",DREXL,59,HOFST,72,W,-8.0,W,145.5,U
6,"Jan 23, 2020",DELA,73,HOFST,71,L,-7.0,L,149.5,U
7,"Jan 18, 2020",HOFST,67,COLCH,69,L,-3.5,W,144.0,U
8,"Jan 16, 2020",HOFST,63,NCWIL,61,W,8.0,L,144.5,U
9,"Jan 9, 2020",HOFST,74,NEAST,72,W,-4.5,W,145.5,O
10,"Jan 4, 2020",ELON,75,HOFST,102,W,-13.0,W,142.5,O
11,"Jan 2, 2020",W&M,88,HOFST,61,L,-8.0,L,153.0,U
12,"Dec 30, 2019",HOFST,75,TOWSN,67,W,1.5,W,140.0,O
13,"Dec 28, 2019",HOFST,82,JMU,76,W,2.5,W,159.0,U
14,"Dec 22, 2019",MANHT,51,HOFST,63,W,-9.5,W,134.5,U
15,"Dec 19, 2019",HOFST,87,PRNCE,72,W,-3.5,W,148.0,O
16,"Dec 10, 2019",STONY,63,HOFST,71,W,-3.5,W,143.0,U
17,"Dec 7, 2019",HOFST,45,STBON,73,L,-4.0,L,139.0,U
18,"Dec 2, 2019",CANIS,57,HOFST,64,W,-6.0,W,156.5,U
19,"Dec 1, 2019",HOFST,91,HOLYC,69,W,13.5,W,152.5,O
20,"Nov 27, 2019",HOFST,69,SD,79,L,1.0,L,143.0,O
21,"Nov 24, 2019",HOFST,79,FULLR,57,W,3.5,W,145.0,U
22,"Nov 21, 2019",HOFST,88,UCLA,78,W,-14.5,W,144.5,O
23,"Nov 13, 2019",HOFST,71,BUCKN,86,L,-2.5,L,154.5,O
24,"Nov 9, 2019",MONMO,74,HOFST,94,W,-6.5,W,146.0,O
25,"Nov 6, 2019",SJ.ST,79,HOFST,71,L,-18.0,L,154.5,U
26,"Mar 19, 2019",HOFST,78,NCST,84,L,-9.0,W,164.0,U
27,"Mar 12, 2019",NEAST,82,HOFST,74,L,2.5,L,145.5,O
28,"Mar 11, 2019",DELA,74,HOFST,78,W,-11.0,L,147.0,O
29,"Mar 10, 2019",JMU,67,HOFST,76,W,-12.0,L,147.0,U
