,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 17, 2020",BUCKN,69,HOLYC,48,L,6.0,L,146.0,U
1,"Feb 15, 2020",LAFAY,72,HOLYC,62,L,6.5,L,145.5,U
2,"Feb 12, 2020",HOLYC,82,LEHIH,89,L,-8.0,W,146.0,O
3,"Feb 8, 2020",HOLYC,68,BOSTU,77,L,-16.0,W,145.0,P
4,"Feb 5, 2020",LOYMD,74,HOLYC,60,L,5.5,L,152.5,U
5,"Feb 1, 2020",COLGT,73,HOLYC,64,L,12.0,W,149.5,U
6,"Jan 29, 2020",HOLYC,66,NAVY,81,L,-10.5,L,133.0,O
7,"Jan 25, 2020",BOSTU,79,HOLYC,64,L,8.5,L,143.5,U
8,"Jan 22, 2020",LEHIH,95,HOLYC,96,W,4.5,W,145.5,O
9,"Jan 18, 2020",HOLYC,69,AMERN,81,L,-12.0,P,142.5,O
10,"Jan 16, 2020",ARMY,79,HOLYC,67,L,2.5,L,143.0,O
11,"Jan 11, 2020",HOLYC,60,BUCKN,75,L,-11.0,L,147.0,U
12,"Jan 8, 2020",HOLYC,64,LAFAY,82,L,-10.0,L,144.5,O
13,"Jan 5, 2020",NAVY,61,HOLYC,63,W,7.0,W,127.5,U
14,"Jan 2, 2020",HOLYC,70,LOYMD,80,L,-12.5,W,148.5,O
15,"Dec 29, 2019",HOLYC,62,SIENA,74,L,-13.5,W,149.5,U
16,"Dec 22, 2019",SACRD,89,HOLYC,68,L,5.5,L,156.0,O
17,"Dec 14, 2019",HOLYC,72,CANIS,80,L,-11.5,W,143.5,O
18,"Dec 10, 2019",MA-BOS,69,HOLYC,66,L,0.0,,0.0,
19,"Dec 7, 2019",HOLYC,51,SD,68,L,-14.5,L,144.0,U
20,"Dec 2, 2019",MERCR,67,HOLYC,81,W,9.0,W,151.5,U
21,"Dec 1, 2019",HOFST,91,HOLYC,69,L,13.5,L,152.5,O
22,"Nov 29, 2019",HOLYC,69,FLAAT,87,L,-12.5,L,135.5,O
23,"Nov 22, 2019",HARVD,82,HOLYC,74,L,16.0,W,139.0,O
24,"Nov 19, 2019",NEAST,101,HOLYC,44,L,9.5,L,147.5,U
25,"Nov 12, 2019",FAIRF,68,HOLYC,63,L,1.0,L,138.5,U
26,"Nov 9, 2019",HOLYC,83,NH,87,L,-1.5,L,137.5,O
27,"Nov 5, 2019",HOLYC,71,MARYL,95,L,-28.5,W,142.0,O
28,"Mar 7, 2019",HOLYC,65,BUCKN,77,L,-8.0,L,139.5,O
29,"Mar 5, 2019",HOLYC,79,LAFAY,74,W,1.5,W,140.5,O
