,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",HOUBPT,69,LAMAR,79,L,-10.5,W,165.5,U
1,"Feb 12, 2020",HOUBPT,67,ABILE,81,L,-15.5,W,163.5,U
2,"Feb 8, 2020",NWST,93,HOUBPT,79,L,-1.0,L,171.0,O
3,"Feb 5, 2020",HOUBPT,79,SELA,76,W,-5.0,W,170.0,U
4,"Feb 1, 2020",TEXCC,77,HOUBPT,82,W,3.5,W,161.0,U
5,"Jan 29, 2020",INCAR,84,HOUBPT,82,L,-6.5,L,168.0,U
6,"Jan 25, 2020",HOUBPT,89,MCNEE,102,L,-11.0,L,176.0,O
7,"Jan 22, 2020",HOUBPT,83,NICHL,91,L,-17.5,W,167.0,O
8,"Jan 18, 2020",SAMHO,95,HOUBPT,75,L,10.5,L,176.5,U
9,"Jan 15, 2020",NEWOR,106,HOUBPT,98,L,1.0,L,171.5,O
10,"Jan 11, 2020",LAMAR,102,HOUBPT,92,L,5.0,L,161.0,O
11,"Jan 5, 2020",HOUBPT,79,NWST,106,L,-2.5,L,173.0,O
12,"Jan 2, 2020",C.ARK,107,HOUBPT,111,W,-1.5,W,178.0,O
13,"Dec 22, 2019",HOUBPT,88,NEWMX,107,L,-20.5,W,174.5,O
14,"Dec 18, 2019",HOUBPT,68,SFA,96,L,-14.5,L,167.5,U
15,"Dec 14, 2019",HOUBPT,84,RICE,96,L,-10.5,L,173.5,O
16,"Dec 7, 2019",SAMFD,113,HOUBPT,90,L,4.0,L,165.0,O
17,"Dec 3, 2019",HOUBPT,68,DAYTN,99,L,-31.0,P,166.0,O
18,"Nov 26, 2019",HOUBPT,73,HOUST,112,L,-26.0,L,160.0,O
19,"Nov 22, 2019",HOUBPT,68,MICH,111,L,-24.5,L,153.5,O
20,"Nov 13, 2019",TEXTK,103,HOUBPT,74,L,24.5,L,151.0,O
21,"Nov 8, 2019",HOUBPT,81,ORALR,95,L,-9.0,L,162.5,O
22,"Nov 5, 2019",HOUBPT,72,TULSA,80,L,-15.5,W,158.5,U
23,"Mar 13, 2019",HOUBPT,79,LAMAR,81,L,-5.5,W,162.5,U
24,"Mar 9, 2019",HOUBPT,69,TEXCC,76,L,-3.0,L,146.5,U
25,"Mar 6, 2019",INCAR,111,HOUBPT,118,W,-12.5,L,151.5,O
26,"Mar 2, 2019",MCNEE,65,HOUBPT,86,W,-7.5,W,156.5,U
27,"Feb 27, 2019",HOUBPT,75,LAMAR,110,L,-5.5,L,157.0,O
28,"Feb 23, 2019",HOUBPT,113,SAMHO,119,L,-9.0,W,151.0,O
29,"Feb 20, 2019",NWST,54,HOUBPT,92,W,-7.5,W,154.0,U
