,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",HOUST,72,SMU,73,L,1.5,L,136.0,O
1,"Feb 12, 2020",HOUST,62,S.FLA,58,W,5.5,L,126.5,U
2,"Feb 9, 2020",WICHI,43,HOUST,76,W,-5.0,W,134.0,U
3,"Feb 6, 2020",TULAN,62,HOUST,75,W,-16.5,L,135.5,O
4,"Feb 1, 2020",HOUST,62,CINCY,64,L,-3.5,W,135.0,U
5,"Jan 29, 2020",HOUST,69,E.CAR,59,W,13.0,L,141.0,U
6,"Jan 26, 2020",S.FLA,49,HOUST,68,W,-13.5,W,127.0,U
7,"Jan 23, 2020",UCONN,59,HOUST,63,W,-9.5,L,129.0,U
8,"Jan 18, 2020",HOUST,65,WICHI,54,W,-4.0,W,138.0,U
9,"Jan 15, 2020",SMU,62,HOUST,71,W,-7.0,W,138.5,U
10,"Jan 11, 2020",HOUST,61,TULSA,63,L,6.5,L,136.0,U
11,"Jan 7, 2020",HOUST,78,TEMPL,74,W,3.0,W,135.0,O
12,"Jan 3, 2020",UCF,63,HOUST,78,W,-9.0,W,134.0,O
13,"Dec 25, 2019",HOUST,75,WASH,71,W,2.5,W,138.5,O
14,"Dec 23, 2019",HOUST,70,GATEC,59,W,7.5,W,133.5,U
15,"Dec 22, 2019",HOUST,81,PORTL,56,W,18.0,W,135.0,O
16,"Dec 19, 2019",UTEP,57,HOUST,77,W,-12.0,W,129.0,O
17,"Dec 15, 2019",OKST,61,HOUST,55,L,-7.0,L,140.5,U
18,"Dec 11, 2019",TEXAR,63,HOUST,71,W,-14.0,L,138.0,U
19,"Dec 8, 2019",HOUST,76,S.CAR,56,W,2.5,W,145.0,U
20,"Dec 4, 2019",TEXST,60,HOUST,68,W,-12.5,L,133.5,U
21,"Nov 26, 2019",HOUBPT,73,HOUST,112,W,-26.0,W,160.0,O
22,"Nov 22, 2019",HOUST,66,OREG,78,L,-7.0,L,136.0,O
23,"Nov 19, 2019",HOUST,97,RICE,89,W,13.0,L,145.0,O
24,"Nov 15, 2019",BYU,72,HOUST,71,L,-11.5,L,141.0,O
25,"Nov 12, 2019",ALAST,56,HOUST,84,W,-27.5,W,139.0,O
26,"Mar 29, 2019",HOUST,58,KENTY,62,L,-2.0,L,135.5,U
27,"Mar 24, 2019",OHIOS,59,HOUST,74,W,-6.5,W,132.5,O
28,"Mar 22, 2019",GAST,55,HOUST,84,W,-12.5,W,145.5,U
29,"Mar 17, 2019",CINCY,69,HOUST,57,L,-5.0,L,126.0,P
