,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 10, 2020",HOWRD,68,BCOOK,87,L,-12.0,L,156.5,U
1,"Feb 8, 2020",HOWRD,78,FLA&M,82,L,-10.0,W,145.5,O
2,"Feb 3, 2020",COPIN,64,HOWRD,56,L,4.0,L,155.0,U
3,"Feb 1, 2020",MORGN,89,HOWRD,83,L,5.0,L,149.0,O
4,"Jan 27, 2020",HOWRD,75,COPIN,82,L,-10.5,W,153.5,O
5,"Jan 25, 2020",FLA&M,87,HOWRD,83,L,5.0,W,142.0,O
6,"Jan 20, 2020",YALE,89,HOWRD,75,L,20.0,W,138.5,O
7,"Jan 18, 2020",HOWRD,58,MORGN,68,L,-13.0,W,149.0,U
8,"Jan 13, 2020",SC.ST,101,HOWRD,95,L,5.0,L,147.0,O
9,"Jan 11, 2020",NORFK,71,HOWRD,63,L,9.5,W,138.5,U
10,"Jan 6, 2020",BCOOK,102,HOWRD,73,L,8.5,L,149.5,O
11,"Jan 4, 2020",HOWRD,66,MD-ES,78,L,-1.5,L,135.5,O
12,"Dec 30, 2019",PENN,81,HOWRD,62,L,18.5,L,153.0,U
13,"Dec 22, 2019",HARVD,60,HOWRD,55,L,20.0,W,148.0,U
14,"Dec 18, 2019",REGENT,47,HOWRD,105,W,0.0,,0.0,
15,"Dec 14, 2019",APPST,81,HOWRD,59,L,12.5,L,139.5,O
16,"Dec 5, 2019",HOWRD,94,HAMPT,91,W,-11.5,W,148.0,O
17,"Nov 30, 2019",MTSTM,73,HOWRD,56,L,8.0,L,138.0,U
18,"Nov 26, 2019",HOWRD,69,AMERN,86,L,-16.5,L,145.5,O
19,"Nov 23, 2019",HOWRD,69,BALL,100,L,-23.5,L,140.0,O
20,"Nov 21, 2019",HOWRD,63,MARSH,91,L,-18.0,L,152.5,O
21,"Nov 17, 2019",HOWRD,68,TOLDO,112,L,-23.5,L,147.0,O
22,"Nov 15, 2019",HOWRD,65,ROBMO,85,L,-6.5,L,136.5,O
23,"Nov 12, 2019",HOWRD,50,ND,79,L,-28.5,L,143.5,U
24,"Nov 9, 2019",HOWRD,62,GWASH,76,L,-12.5,L,138.0,P
25,"Nov 5, 2019",COLUN,71,HOWRD,68,L,0.0,,0.0,
26,"Mar 20, 2019",HOWRD,72,COCAR,81,L,-11.0,W,162.0,U
27,"Mar 15, 2019",HOWRD,69,NORFK,75,L,-5.0,L,155.0,U
28,"Mar 14, 2019",BCOOK,71,HOWRD,80,W,1.5,W,156.5,U
29,"Mar 7, 2019",HOWRD,98,NORFK,95,W,-6.0,W,151.0,O
