,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",ID.ST,63,MONTA,78,L,-12.5,L,140.0,O
1,"Feb 13, 2020",ID.ST,69,MONST,73,L,-7.5,W,136.5,O
2,"Feb 8, 2020",SACRA,63,ID.ST,59,L,3.0,L,125.0,U
3,"Feb 6, 2020",NARIZ,88,ID.ST,87,L,2.0,W,143.5,O
4,"Feb 1, 2020",ID.ST,75,SUTAH,80,L,-12.5,W,135.0,O
5,"Jan 30, 2020",ID.ST,67,NCOLO,83,L,-14.0,L,135.0,O
6,"Jan 25, 2020",MONST,75,ID.ST,64,L,1.5,L,133.5,O
7,"Jan 23, 2020",MONTA,77,ID.ST,74,L,5.0,W,132.5,O
8,"Jan 18, 2020",ID.ST,76,PORST,82,L,-8.0,W,142.5,O
9,"Jan 16, 2020",WEBER,76,ID.ST,68,L,1.0,L,133.5,O
10,"Jan 11, 2020",ID.ST,71,NARIZ,67,W,-7.0,W,135.5,O
11,"Jan 9, 2020",SUTAH,71,ID.ST,55,L,5.5,L,133.5,U
12,"Jan 4, 2020",ID.ST,49,SACRA,68,L,-7.0,L,121.0,U
13,"Dec 30, 2019",EWASH,69,ID.ST,75,W,7.5,W,153.0,U
14,"Dec 28, 2019",IDAHO,60,ID.ST,62,W,-7.0,L,136.0,U
15,"Dec 21, 2019",ID.ST,66,PACIF,77,L,-11.5,W,127.5,O
16,"Dec 16, 2019",SABAR,74,ID.ST,68,L,6.0,P,135.5,O
17,"Dec 6, 2019",ID.ST,65,PEPPR,77,L,-12.5,W,149.0,U
18,"Nov 27, 2019",WCBAP,43,ID.ST,102,W,0.0,,0.0,
19,"Nov 22, 2019",ID.ST,65,SACLA,78,L,-14.0,W,136.0,O
20,"Nov 17, 2019",ID.ST,61,WASST,72,L,-14.5,W,135.0,U
21,"Nov 14, 2019",WMONT,48,ID.ST,80,W,0.0,,0.0,
22,"Nov 7, 2019",ID.ST,89,AIRFO,79,W,-14.5,W,131.5,O
23,"Nov 5, 2019",ID.ST,40,WYOM,54,L,-8.0,L,140.5,U
24,"Mar 13, 2019",ID.ST,80,SUTAH,94,L,-2.5,L,150.0,O
25,"Mar 9, 2019",IDAHO,68,ID.ST,70,W,-11.5,L,149.0,U
26,"Mar 7, 2019",EWASH,91,ID.ST,62,L,0.0,L,146.5,O
27,"Mar 4, 2019",WEBER,74,ID.ST,78,W,4.0,W,157.0,U
28,"Mar 2, 2019",ID.ST,62,NCOLO,71,L,-12.5,W,146.5,U
29,"Feb 21, 2019",ID.ST,93,PORST,99,L,-5.5,L,151.0,O
