,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 17, 2020",IDAHO,69,PORST,90,L,-10.0,L,148.5,O
1,"Feb 13, 2020",IDAHO,74,EWASH,71,W,-15.0,W,146.5,U
2,"Feb 8, 2020",MONTA,82,IDAHO,71,L,7.5,L,136.5,O
3,"Feb 6, 2020",IDAHO,50,MONST,72,L,-8.5,L,138.0,U
4,"Feb 3, 2020",IDAHO,67,SACRA,53,W,-11.0,W,120.5,U
5,"Feb 1, 2020",IDAHO,72,NARIZ,77,L,-10.0,W,135.5,O
6,"Jan 27, 2020",SUTAH,73,IDAHO,45,L,8.0,L,133.0,U
7,"Jan 25, 2020",NCOLO,74,IDAHO,53,L,8.5,L,134.0,U
8,"Jan 18, 2020",IDAHO,63,MONTA,67,L,-13.0,W,134.0,U
9,"Jan 16, 2020",EWASH,78,IDAHO,75,L,7.0,W,154.0,U
10,"Jan 9, 2020",MONST,71,IDAHO,68,L,2.5,L,136.5,O
11,"Jan 2, 2020",PORST,61,IDAHO,72,W,6.5,W,148.5,U
12,"Dec 30, 2019",IDAHO,68,WEBER,69,L,-9.5,W,135.5,O
13,"Dec 28, 2019",IDAHO,60,ID.ST,62,L,-7.0,W,136.0,U
14,"Dec 21, 2019",IDAHO,57,SD.ST,85,L,-14.0,L,141.5,O
15,"Dec 14, 2019",CSBAK,70,IDAHO,76,W,6.0,W,131.5,O
16,"Dec 4, 2019",WASST,78,IDAHO,65,L,13.5,W,139.5,O
17,"Nov 30, 2019",IDAHO,55,SEATT,74,L,-12.5,L,131.5,U
18,"Nov 26, 2019",ND.ST,70,IDAHO,53,L,9.5,L,129.0,U
19,"Nov 23, 2019",WALLA,50,IDAHO,100,W,0.0,,0.0,
20,"Nov 17, 2019",IDAHO,68,ARKST,82,L,-8.5,L,133.5,O
21,"Nov 15, 2019",IDAHO,68,VMI,67,W,-1.0,W,130.0,O
22,"Nov 14, 2019",IDAHO,64,UCDAV,65,L,-5.0,W,130.0,U
23,"Nov 9, 2019",IDAHO,51,UCRIV,58,L,-12.0,W,133.0,U
24,"Nov 5, 2019",EVRGR,82,IDAHO,88,W,0.0,,0.0,
25,"Mar 13, 2019",IDAHO,71,MONST,75,L,-12.0,W,153.0,U
26,"Mar 9, 2019",IDAHO,68,ID.ST,70,L,-11.5,W,149.0,U
27,"Mar 7, 2019",IDAHO,59,WEBER,93,L,-17.0,L,149.5,O
28,"Mar 2, 2019",SACRA,90,IDAHO,94,W,8.5,W,134.0,O
29,"Feb 28, 2019",PORST,67,IDAHO,65,L,8.5,W,144.0,U
