,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",VALPO,65,ILLST,62,L,0.0,L,140.0,U
1,"Feb 12, 2020",ILLST,63,NIOWA,71,L,-13.5,W,141.0,U
2,"Feb 8, 2020",INDST,67,ILLST,74,W,3.5,W,136.0,O
3,"Feb 5, 2020",ILLST,60,MIZST,80,L,-6.0,L,137.5,O
4,"Feb 1, 2020",ILLST,70,VALPO,80,L,-7.0,L,145.0,O
5,"Jan 29, 2020",EVANS,66,ILLST,77,W,-7.0,W,132.0,O
6,"Jan 25, 2020",S.ILL,58,ILLST,55,L,-2.0,L,128.0,U
7,"Jan 22, 2020",ILLST,63,BRAD,75,L,-8.0,L,137.0,O
8,"Jan 19, 2020",LOYCH,62,ILLST,50,L,4.5,L,129.0,U
9,"Jan 16, 2020",ILLST,74,DRAKE,84,L,-7.5,L,136.5,O
10,"Jan 11, 2020",ILLST,52,INDST,65,L,-8.5,L,139.5,U
11,"Jan 7, 2020",MIZST,67,ILLST,63,L,-2.5,L,127.0,O
12,"Jan 4, 2020",ILLST,55,S.ILL,67,L,-2.5,L,128.0,U
13,"Dec 31, 2019",NIOWA,70,ILLST,76,W,5.5,W,134.0,O
14,"Dec 21, 2019",ILLST,70,TEXSA,89,L,-3.0,L,146.5,O
15,"Dec 18, 2019",ILCHI,66,ILLST,67,W,-6.0,L,138.5,U
16,"Dec 15, 2019",ILLST,64,N.KENT,79,L,-5.5,L,133.5,O
17,"Dec 7, 2019",MORHD,50,ILLST,61,W,-6.0,W,138.5,U
18,"Dec 3, 2019",ILLST,69,TCU,81,L,-14.0,W,128.5,O
19,"Nov 29, 2019",ILSPR,57,ILLST,76,W,0.0,,0.0,
20,"Nov 25, 2019",GRCNYN,68,ILLST,63,L,-3.5,L,136.0,U
21,"Nov 23, 2019",ILLST,69,W.KEN,83,L,-6.5,L,138.0,O
22,"Nov 22, 2019",ILLST,65,CINCY,66,L,-12.5,W,133.0,U
23,"Nov 17, 2019",UCF,67,ILLST,65,L,-2.5,L,134.0,U
24,"Nov 10, 2019",ARKLR,70,ILLST,75,W,-5.5,L,137.5,O
25,"Nov 6, 2019",BELMT,72,ILLST,79,W,5.5,W,151.0,P
26,"Mar 8, 2019",ILLST,62,DRAKE,78,L,-3.0,L,139.0,O
27,"Mar 7, 2019",EVANS,60,ILLST,65,W,-5.5,L,135.0,U
28,"Mar 2, 2019",ILLST,63,S.ILL,72,L,-6.5,L,135.0,P
29,"Feb 27, 2019",MIZST,57,ILLST,65,W,-2.0,W,125.5,U
