,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",MIZST,71,INDST,58,L,-4.0,L,137.0,U
1,"Feb 12, 2020",INDST,61,BRAD,72,L,-6.5,L,135.0,U
2,"Feb 8, 2020",INDST,67,ILLST,74,L,3.5,L,136.0,O
3,"Feb 5, 2020",LOYCH,39,INDST,68,W,2.0,W,126.5,U
4,"Feb 1, 2020",INDST,78,MIZST,68,W,-1.5,W,136.0,O
5,"Jan 29, 2020",DRAKE,56,INDST,58,W,-4.0,L,137.5,U
6,"Jan 25, 2020",BRAD,53,INDST,61,W,-3.0,W,137.5,U
7,"Jan 22, 2020",INDST,55,LOYCH,75,L,-7.5,L,132.5,U
8,"Jan 18, 2020",INDST,77,VALPO,86,L,0.0,,137.5,O
9,"Jan 15, 2020",EVANS,42,INDST,65,W,-10.5,W,137.5,U
10,"Jan 11, 2020",ILLST,52,INDST,65,W,-8.5,W,139.5,U
11,"Jan 7, 2020",INDST,60,NIOWA,68,L,-7.5,L,137.0,U
12,"Jan 4, 2020",INDST,76,DRAKE,80,L,-3.5,L,139.0,O
13,"Dec 30, 2019",S.ILL,56,INDST,68,W,-6.5,W,130.5,U
14,"Dec 22, 2019",CHIST,64,INDST,85,W,-26.0,L,151.0,U
15,"Dec 18, 2019",TN.ST,72,INDST,78,W,-9.0,L,143.0,O
16,"Dec 7, 2019",INDST,84,WRIGH,77,W,-5.0,W,145.5,O
17,"Dec 3, 2019",ND.ST,60,INDST,71,W,-3.5,W,133.5,U
18,"Nov 30, 2019",MOSTL,55,INDST,62,W,0.0,,0.0,
19,"Nov 24, 2019",AIRFO,74,INDST,84,W,-3.5,W,137.5,O
20,"Nov 22, 2019",INDST,72,LOYMA,60,W,2.5,W,133.0,U
21,"Nov 21, 2019",DUQU,74,INDST,71,L,7.0,W,137.5,O
22,"Nov 17, 2019",BALL,69,INDST,55,L,2.0,L,144.0,U
23,"Nov 13, 2019",INDST,62,LOUIS,91,L,-20.5,L,145.5,O
24,"Nov 9, 2019",INDST,81,DAYTN,86,L,-12.0,W,139.5,O
25,"Mar 7, 2019",VALPO,77,INDST,55,L,-3.5,L,126.0,O
26,"Mar 2, 2019",NIOWA,54,INDST,71,W,-1.5,W,132.0,U
27,"Feb 27, 2019",INDST,68,DRAKE,80,L,-6.0,L,145.0,O
28,"Feb 23, 2019",INDST,61,MIZST,67,L,-6.5,W,127.5,O
29,"Feb 20, 2019",ILLST,50,INDST,73,W,-1.5,W,136.5,U
