,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",INDY,68,MINN,56,W,-5.5,W,135.5,U
1,"Feb 16, 2020",INDY,65,MICH,89,L,-8.5,L,139.0,O
2,"Feb 13, 2020",IOWA,77,INDY,89,W,-3.0,W,148.5,O
3,"Feb 8, 2020",PURDU,74,INDY,62,L,-3.0,L,127.0,O
4,"Feb 1, 2020",INDY,59,OHIOS,68,L,-7.5,L,131.5,U
5,"Jan 29, 2020",INDY,49,PENST,64,L,-6.0,L,143.0,U
6,"Jan 26, 2020",MARYL,77,INDY,76,L,-2.5,L,133.0,O
7,"Jan 23, 2020",MICHS,63,INDY,67,W,4.0,W,144.0,U
8,"Jan 18, 2020",INDY,82,NEBRS,74,W,6.5,W,143.5,O
9,"Jan 15, 2020",INDY,50,RUTGR,59,L,-3.5,L,129.5,U
10,"Jan 11, 2020",OHIOS,54,INDY,66,W,2.5,W,133.0,U
11,"Jan 8, 2020",NWEST,62,INDY,66,W,-13.5,L,138.0,U
12,"Jan 4, 2020",INDY,59,MARYL,75,L,-6.5,L,137.5,U
13,"Dec 29, 2019",ARK,71,INDY,64,L,-6.5,L,140.0,U
14,"Dec 21, 2019",INDY,62,ND,60,W,3.0,L,142.0,U
15,"Dec 13, 2019",NEBRS,90,INDY,96,W,-17.5,L,148.0,O
16,"Dec 10, 2019",UCONN,54,INDY,57,W,-2.0,W,139.5,U
17,"Dec 7, 2019",INDY,64,WISCN,84,L,1.5,L,127.0,O
18,"Dec 3, 2019",FLAST,64,INDY,80,W,-1.5,W,135.5,O
19,"Nov 30, 2019",SD.ST,50,INDY,64,W,-18.5,L,152.0,U
20,"Nov 25, 2019",LATEC,75,INDY,88,W,-10.5,W,143.0,O
21,"Nov 20, 2019",PRNCE,54,INDY,79,W,-18.5,W,141.5,U
22,"Nov 16, 2019",TROY,62,INDY,100,W,-21.5,W,145.5,O
23,"Nov 12, 2019",N.ALAB,65,INDY,91,W,-22.5,W,140.5,O
24,"Nov 9, 2019",PORST,74,INDY,85,W,-19.5,L,152.5,O
25,"Nov 5, 2019",W.ILL,65,INDY,98,W,-21.5,W,143.0,O
26,"Mar 26, 2019",WICHI,73,INDY,63,L,-3.5,L,139.0,U
27,"Mar 23, 2019",ARK,60,INDY,63,W,-5.5,L,147.0,U
28,"Mar 19, 2019",STFPA,72,INDY,89,W,-16.5,W,151.5,O
29,"Mar 14, 2019",INDY,75,OHIOS,79,L,2.0,L,129.5,O
