,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 17, 2020",IOWAS,71,KANSA,91,L,-17.0,L,141.0,O
1,"Feb 15, 2020",TEXAS,52,IOWAS,81,W,-3.0,W,132.5,O
2,"Feb 12, 2020",IOWAS,61,OKLA,90,L,-9.5,L,144.0,O
3,"Feb 8, 2020",KANST,63,IOWAS,73,W,-4.5,W,136.0,P
4,"Feb 5, 2020",IOWAS,61,W.VA,76,L,-10.5,L,143.5,U
5,"Feb 1, 2020",IOWAS,68,TEXAS,72,L,-3.0,L,137.5,O
6,"Jan 29, 2020",BAYLR,67,IOWAS,53,L,4.5,L,137.0,U
7,"Jan 25, 2020",IOWAS,76,AUBRN,80,L,-8.0,W,146.5,O
8,"Jan 21, 2020",OKST,82,IOWAS,89,W,-6.0,W,138.0,O
9,"Jan 18, 2020",IOWAS,52,TEXTK,72,L,-8.0,L,136.0,U
10,"Jan 15, 2020",IOWAS,55,BAYLR,68,L,-9.0,L,138.0,U
11,"Jan 11, 2020",OKLA,68,IOWAS,81,W,-4.0,W,150.5,U
12,"Jan 8, 2020",KANSA,79,IOWAS,53,L,5.5,L,146.0,U
13,"Jan 4, 2020",IOWAS,79,TCU,81,L,-4.0,W,143.0,O
14,"Dec 31, 2019",FLA&M,70,IOWAS,68,L,-25.0,L,145.0,U
15,"Dec 22, 2019",IPFW,59,IOWAS,89,W,-18.0,W,147.5,O
16,"Dec 12, 2019",IOWA,84,IOWAS,68,L,-4.0,L,157.5,U
17,"Dec 8, 2019",SETON,66,IOWAS,76,W,-3.0,W,151.5,U
18,"Dec 4, 2019",UMKC,61,IOWAS,79,W,-18.5,L,139.5,O
19,"Nov 29, 2019",IOWAS,76,SETON,84,L,-2.0,L,151.0,O
20,"Nov 28, 2019",IOWAS,104,ALA,89,W,3.0,W,151.5,O
21,"Nov 27, 2019",MICH,83,IOWAS,76,L,3.0,L,137.0,O
22,"Nov 19, 2019",S.MISS,45,IOWAS,73,W,-17.0,W,135.5,U
23,"Nov 12, 2019",N.ILL,52,IOWAS,70,W,-14.5,W,142.5,U
24,"Nov 9, 2019",IOWAS,74,OREST,80,L,-2.5,L,146.5,O
25,"Nov 5, 2019",MSVAL,74,IOWAS,110,W,-34.5,W,147.0,O
26,"Mar 22, 2019",OHIOS,62,IOWAS,59,L,-5.0,L,140.0,U
27,"Mar 16, 2019",IOWAS,78,KANSA,66,W,-1.0,W,144.0,P
28,"Mar 15, 2019",IOWAS,63,KANST,59,W,2.5,W,130.0,U
29,"Mar 14, 2019",IOWAS,83,BAYLR,66,W,3.0,W,143.0,O
