,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",IOWA,58,MINN,55,W,-5.0,W,151.0,U
1,"Feb 13, 2020",IOWA,77,INDY,89,L,-3.0,L,148.5,O
2,"Feb 8, 2020",NEBRS,72,IOWA,96,W,-14.5,W,158.5,O
3,"Feb 5, 2020",IOWA,68,PURDU,104,L,-4.5,L,136.5,O
4,"Feb 2, 2020",ILL,65,IOWA,72,W,-4.5,W,146.5,U
5,"Jan 30, 2020",IOWA,72,MARYL,82,L,-6.0,L,144.5,O
6,"Jan 27, 2020",WISCN,62,IOWA,68,W,-6.0,P,135.0,U
7,"Jan 22, 2020",RUTGR,80,IOWA,85,W,-5.5,L,138.0,O
8,"Jan 17, 2020",MICH,83,IOWA,90,W,-5.5,W,146.5,O
9,"Jan 14, 2020",IOWA,75,NWEST,62,W,5.5,W,141.5,U
10,"Jan 10, 2020",MARYL,49,IOWA,67,W,2.0,W,146.5,U
11,"Jan 7, 2020",IOWA,70,NEBRS,76,L,8.0,L,156.5,U
12,"Jan 4, 2020",IOWA,86,PENST,89,L,-3.0,P,153.5,O
13,"Dec 29, 2019",KENNE,51,IOWA,93,W,-29.0,W,146.0,U
14,"Dec 21, 2019",CINCY,70,IOWA,77,W,-2.5,W,148.0,U
15,"Dec 12, 2019",IOWA,84,IOWAS,68,W,-4.0,W,157.5,U
16,"Dec 9, 2019",MINN,52,IOWA,72,W,-5.5,W,147.0,U
17,"Dec 6, 2019",IOWA,91,MICH,103,L,-7.0,L,143.5,O
18,"Dec 3, 2019",IOWA,68,SYRA,54,W,-4.5,W,144.5,U
19,"Nov 29, 2019",IOWA,73,SD.ST,83,L,-3.0,L,137.5,O
20,"Nov 28, 2019",IOWA,72,TEXTK,61,W,-7.0,W,144.0,U
21,"Nov 24, 2019",CALPO,59,IOWA,85,W,-23.5,W,145.5,U
22,"Nov 21, 2019",N.FLA,68,IOWA,83,W,-16.0,L,159.0,U
23,"Nov 15, 2019",ORALR,74,IOWA,87,W,-12.0,W,161.0,P
24,"Nov 11, 2019",DPAUL,93,IOWA,78,L,-9.0,L,149.5,O
25,"Nov 8, 2019",SIUED,60,IOWA,87,W,-23.5,W,149.0,U
26,"Mar 24, 2019",IOWA,77,TENN,83,L,-7.5,W,155.0,O
27,"Mar 22, 2019",IOWA,79,CINCY,72,W,-4.5,W,136.5,O
28,"Mar 15, 2019",IOWA,53,MICH,74,L,-8.0,L,141.0,U
29,"Mar 14, 2019",ILL,62,IOWA,83,W,-4.5,W,154.0,U
