,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 17, 2020",JACKS,61,PVA&M,70,L,-7.5,L,133.5,U
1,"Feb 15, 2020",JACKS,74,TEXSO,77,L,-5.0,W,140.5,O
2,"Feb 10, 2020",SUTHR,51,JACKS,67,W,-3.5,W,130.5,U
3,"Feb 8, 2020",ALCRN,57,JACKS,86,W,-3.0,W,139.0,O
4,"Feb 3, 2020",JACKS,49,ARKPB,45,W,6.5,L,124.5,U
5,"Feb 1, 2020",JACKS,85,MSVAL,65,W,9.5,W,152.0,U
6,"Jan 25, 2020",GRAMB,53,JACKS,71,W,-2.0,W,138.0,U
7,"Jan 20, 2020",PVA&M,74,JACKS,60,L,3.0,L,134.0,P
8,"Jan 18, 2020",TEXSO,77,JACKS,66,L,1.5,L,144.5,U
9,"Jan 13, 2020",JACKS,50,SUTHR,56,L,1.5,L,133.5,U
10,"Jan 11, 2020",JACKS,76,ALCRN,65,W,1.0,W,138.5,O
11,"Jan 6, 2020",ALA&M,66,JACKS,57,L,-8.0,L,141.5,U
12,"Jan 4, 2020",ALAST,67,JACKS,70,W,-7.5,L,138.0,U
13,"Dec 30, 2019",JACKS,57,BAYLR,83,L,-32.5,W,136.5,O
14,"Dec 21, 2019",JACKS,49,MEMPH,77,L,-25.0,L,143.0,U
15,"Dec 19, 2019",JACKS,73,PORTL,63,W,-6.0,W,132.5,O
16,"Dec 3, 2019",JACKS,58,DENVR,67,L,-6.0,L,136.0,U
17,"Dec 1, 2019",JACKS,52,AIRFO,76,L,-12.0,L,138.5,U
18,"Nov 26, 2019",JACKS,57,UNLV,80,L,-13.5,L,132.5,O
19,"Nov 18, 2019",JACKS,58,TEXST,73,L,-15.0,P,133.5,U
20,"Nov 16, 2019",JACKS,63,SMU,80,L,-21.5,W,134.0,O
21,"Nov 12, 2019",JACKS,79,TULAN,88,L,-11.0,W,137.0,O
22,"Nov 6, 2019",JACKS,62,SABAR,83,L,-18.0,L,131.5,O
23,"Nov 5, 2019",JACKS,70,CALBAP,93,L,-11.5,L,136.5,O
24,"Mar 12, 2019",ALAST,58,JACKS,49,L,-5.5,L,128.0,U
25,"Mar 9, 2019",ALAST,70,JACKS,82,W,-5.0,W,125.0,O
26,"Mar 7, 2019",ALA&M,47,JACKS,66,W,-8.5,W,118.0,U
27,"Mar 4, 2019",JACKS,57,ARKPB,56,W,-5.5,W,121.5,U
28,"Mar 2, 2019",JACKS,57,MSVAL,60,L,2.0,L,131.0,U
29,"Feb 23, 2019",GRAMB,60,JACKS,71,W,1.5,W,126.0,O
