,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",JAXST,84,BELMT,101,L,-14.5,L,146.0,O
1,"Feb 13, 2020",JAXST,74,TNTEC,75,L,3.5,L,135.5,O
2,"Feb 8, 2020",JAXST,75,TNMAR,61,W,1.0,W,153.5,U
3,"Feb 6, 2020",JAXST,72,SEMIZ,76,L,3.0,L,138.5,O
4,"Feb 1, 2020",BELMT,78,JAXST,64,L,8.5,L,150.0,U
5,"Jan 30, 2020",TN.ST,72,JAXST,62,L,-3.5,L,143.0,U
6,"Jan 25, 2020",MORHD,51,JAXST,72,W,-6.0,W,135.0,U
7,"Jan 23, 2020",EKENT,81,JAXST,77,L,-7.5,L,147.0,O
8,"Jan 18, 2020",JAXST,64,SIUED,56,W,4.5,W,142.0,U
9,"Jan 16, 2020",JAXST,69,E.ILL,70,L,-5.0,W,138.5,O
10,"Jan 11, 2020",APEAY,71,JAXST,67,L,2.0,L,144.5,U
11,"Jan 9, 2020",MURRAY,72,JAXST,68,L,5.0,W,136.0,O
12,"Jan 4, 2020",JAXST,80,EKENT,71,W,2.5,W,144.5,O
13,"Jan 2, 2020",JAXST,76,MORHD,72,W,-3.0,W,133.5,O
14,"Dec 28, 2019",CARVER,56,JAXST,120,W,0.0,,0.0,
15,"Dec 21, 2019",JAXST,53,TENN,75,L,-21.0,L,130.0,U
16,"Dec 18, 2019",DELST,80,JAXST,92,W,-13.5,L,144.5,O
17,"Dec 16, 2019",EVANS,59,JAXST,85,W,4.5,W,138.5,O
18,"Dec 11, 2019",TROY,60,JAXST,55,L,-4.5,L,136.5,U
19,"Dec 7, 2019",JAXST,62,ALA&M,67,L,9.5,L,137.0,U
20,"Dec 3, 2019",JAXST,60,GMASN,67,L,-10.0,W,133.0,U
21,"Nov 30, 2019",JAXST,60,CHATT,63,L,-3.0,P,137.0,U
22,"Nov 29, 2019",JAXST,71,CHIST,62,W,20.0,L,149.5,U
23,"Nov 23, 2019",JAXST,49,PURDU,81,L,-21.0,L,133.5,U
24,"Nov 17, 2019",JAXST,65,VACOM,93,L,-15.5,L,136.5,O
25,"Nov 12, 2019",BRESC,55,JAXST,125,W,0.0,,0.0,
26,"Nov 5, 2019",JAXST,65,SMU,74,L,-12.5,W,140.0,U
27,"Mar 8, 2019",JAXST,74,MURRAY,76,L,-5.0,W,148.0,O
28,"Mar 7, 2019",TNMAR,81,JAXST,88,W,-10.0,L,147.5,O
29,"Mar 2, 2019",JAXST,97,SIUED,72,W,10.0,W,143.5,O
