,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 13, 2020",JAXVL,66,N.FLA,81,L,-7.5,L,144.0,O
1,"Feb 8, 2020",JAXVL,65,NJIT,54,W,-3.0,W,130.5,U
2,"Feb 6, 2020",LIBRT,0,JAXVL,0,T,0.0,,0.0,
3,"Feb 1, 2020",N.ALAB,83,JAXVL,85,W,-3.0,L,129.5,O
4,"Jan 30, 2020",FLAGC,63,JAXVL,61,L,-4.5,L,123.5,O
5,"Jan 25, 2020",JAXVL,83,KENNE,64,W,9.5,W,129.0,O
6,"Jan 23, 2020",JAXVL,89,LIPSC,85,W,-3.5,W,132.5,O
7,"Jan 18, 2020",STETS,64,JAXVL,59,L,-8.0,L,119.0,O
8,"Jan 16, 2020",N.FLA,75,JAXVL,68,L,2.0,L,137.0,O
9,"Jan 11, 2020",JAXVL,37,LIBRT,54,L,-16.5,L,117.5,U
10,"Jan 9, 2020",NJIT,52,JAXVL,68,W,0.0,,0.0,
11,"Jan 2, 2020",JAXVL,57,N.ALAB,62,L,-1.0,L,133.0,U
12,"Dec 30, 2019",SC.ST,58,JAXVL,52,L,-10.5,L,137.5,U
13,"Dec 20, 2019",JAXVL,39,CLEMS,68,L,-12.5,L,128.5,U
14,"Dec 18, 2019",JAXVL,81,PRESB,58,W,3.0,W,129.0,O
15,"Dec 14, 2019",MIDGA,79,JAXVL,93,W,0.0,,0.0,
16,"Dec 7, 2019",BCOOK,60,JAXVL,82,W,-5.0,W,131.5,O
17,"Dec 4, 2019",JAXVL,56,MARQ,75,L,-17.5,L,132.5,U
18,"Nov 30, 2019",JAXVL,61,NCA&T,45,W,1.0,W,126.0,U
19,"Nov 25, 2019",JAXVL,57,CAMBP,62,L,-4.5,L,130.5,U
20,"Nov 21, 2019",W.CAR,96,JAXVL,94,L,2.5,W,141.5,O
21,"Nov 17, 2019",MERRIM,54,JAXVL,44,L,-2.5,L,130.5,U
22,"Nov 16, 2019",DART,37,JAXVL,57,W,7.0,W,132.0,U
23,"Nov 15, 2019",JAXVL,80,LOWELL,78,W,-7.5,W,146.0,O
24,"Nov 11, 2019",BOWLG,75,JAXVL,59,L,10.5,L,150.5,U
25,"Nov 8, 2019",JOHNFL,65,JAXVL,83,W,0.0,,0.0,
26,"Nov 5, 2019",JAXVL,57,XAVIR,76,L,-23.0,W,145.0,U
27,"Mar 4, 2019",JAXVL,58,LIBRT,72,L,-14.0,P,136.0,U
28,"Mar 1, 2019",FLAGC,77,JAXVL,74,L,1.5,L,145.0,O
29,"Feb 26, 2019",JAXVL,55,N.ALAB,69,L,2.0,L,147.0,U
