,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",TOWSN,63,JMU,48,L,2.5,L,150.5,U
1,"Feb 8, 2020",JMU,78,DELA,80,L,-8.0,W,154.5,O
2,"Feb 6, 2020",JMU,67,DREXL,78,L,-6.0,L,152.0,U
3,"Feb 1, 2020",NCWIL,66,JMU,83,W,-4.0,W,150.5,U
4,"Jan 30, 2020",COLCH,87,JMU,68,L,5.5,L,150.0,O
5,"Jan 25, 2020",JMU,73,ELON,82,L,-1.0,L,150.0,O
6,"Jan 23, 2020",JMU,75,W&M,88,L,-9.0,L,151.5,O
7,"Jan 18, 2020",JMU,61,TOWSN,69,L,-8.0,P,147.5,U
8,"Jan 11, 2020",DREXL,78,JMU,71,L,-3.5,L,152.0,U
9,"Jan 9, 2020",DELA,80,JMU,76,L,1.0,L,151.5,O
10,"Jan 4, 2020",JMU,69,COLCH,85,L,-10.0,L,149.5,O
11,"Jan 2, 2020",JMU,64,NCWIL,60,W,3.0,W,154.0,U
12,"Dec 30, 2019",NEAST,88,JMU,72,L,2.5,L,149.5,O
13,"Dec 28, 2019",HOFST,82,JMU,76,L,2.5,L,159.0,U
14,"Dec 20, 2019",JMU,75,FORDM,69,W,-3.0,W,137.5,O
15,"Dec 16, 2019",CHASO,60,JMU,81,W,-6.5,W,152.5,U
16,"Dec 4, 2019",JMU,71,RADFD,94,L,-8.5,L,152.0,O
17,"Nov 30, 2019",E.CAR,89,JMU,99,W,-1.0,W,153.5,O
18,"Nov 26, 2019",COPIN,94,JMU,78,L,-9.5,L,159.5,O
19,"Nov 23, 2019",NH,71,JMU,78,W,-8.5,L,149.5,U
20,"Nov 20, 2019",JMU,80,OLDDO,78,W,-11.5,W,137.5,O
21,"Nov 16, 2019",JMU,70,GMASN,83,L,-6.5,L,138.0,O
22,"Nov 13, 2019",SHENA,48,JMU,96,W,0.0,,0.0,
23,"Nov 10, 2019",JMU,34,VIRGA,65,L,-24.5,L,121.5,U
24,"Nov 6, 2019",CHARL,74,JMU,79,W,-3.5,W,136.0,O
25,"Mar 10, 2019",JMU,67,HOFST,76,L,-12.0,W,147.0,U
26,"Mar 9, 2019",TOWSN,73,JMU,74,W,-1.0,P,130.5,O
27,"Mar 2, 2019",W&M,70,JMU,66,L,3.0,L,144.0,U
28,"Feb 28, 2019",ELON,73,JMU,58,L,-6.0,L,141.0,U
29,"Feb 23, 2019",JMU,104,HOFST,99,W,-14.0,W,147.5,O
