,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",KANST,57,TCU,68,L,-3.0,L,124.5,O
1,"Feb 11, 2020",OKST,64,KANST,59,L,-3.0,L,131.0,U
2,"Feb 8, 2020",KANST,63,IOWAS,73,L,-4.5,L,136.0,P
3,"Feb 3, 2020",BAYLR,73,KANST,67,L,7.0,W,124.5,O
4,"Feb 1, 2020",KANST,57,W.VA,66,L,-13.5,W,135.0,U
5,"Jan 29, 2020",OKLA,53,KANST,61,W,-1.5,W,136.0,U
6,"Jan 25, 2020",KANST,74,ALA,77,L,-9.0,W,146.0,O
7,"Jan 21, 2020",KANST,60,KANSA,81,L,-16.5,L,127.0,O
8,"Jan 18, 2020",W.VA,68,KANST,84,W,6.5,W,125.0,O
9,"Jan 14, 2020",TEXTK,77,KANST,63,L,4.0,L,125.0,O
10,"Jan 11, 2020",KANST,50,TEXAS,64,L,-5.0,L,122.5,U
11,"Jan 7, 2020",TCU,59,KANST,57,L,-1.0,L,125.5,U
12,"Jan 4, 2020",KANST,61,OKLA,66,L,-7.0,W,136.5,U
13,"Dec 29, 2019",TULSA,67,KANST,69,W,-8.0,L,127.0,O
14,"Dec 21, 2019",KANST,63,STL,66,L,2.0,L,122.5,O
15,"Dec 14, 2019",KANST,61,MISST,67,L,-2.5,L,126.5,O
16,"Dec 11, 2019",ALAST,41,KANST,86,W,-20.0,W,127.0,P
17,"Dec 7, 2019",MARQ,73,KANST,65,L,1.0,L,133.5,O
18,"Dec 2, 2019",FLA&M,58,KANST,76,W,-26.0,L,123.5,O
19,"Nov 27, 2019",KANST,60,BRAD,73,L,5.5,L,118.0,O
20,"Nov 25, 2019",KANST,59,PITT,63,L,2.5,L,117.0,O
21,"Nov 19, 2019",ARKPB,51,KANST,62,W,-27.0,L,119.5,U
22,"Nov 13, 2019",MONMO,54,KANST,73,W,-17.0,W,122.5,O
23,"Nov 9, 2019",KANST,60,UNLV,56,W,3.5,W,133.0,U
24,"Nov 5, 2019",ND.ST,54,KANST,67,W,-11.5,W,131.5,U
25,"Mar 22, 2019",UCI,70,KANST,64,L,-3.5,L,119.0,O
26,"Mar 15, 2019",IOWAS,63,KANST,59,L,2.5,L,130.0,U
27,"Mar 14, 2019",TCU,61,KANST,70,W,-4.0,W,125.5,O
28,"Mar 9, 2019",OKLA,53,KANST,68,W,-7.5,W,127.0,U
29,"Mar 4, 2019",KANST,64,TCU,52,W,1.0,W,132.5,U
