,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 17, 2020",IOWAS,71,KANSA,91,W,-17.0,W,141.0,O
1,"Feb 15, 2020",OKLA,70,KANSA,87,W,-11.5,W,136.0,O
2,"Feb 12, 2020",KANSA,58,W.VA,49,W,-1.5,W,134.0,U
3,"Feb 8, 2020",KANSA,60,TCU,46,W,8.0,W,131.0,U
4,"Feb 3, 2020",TEXAS,58,KANSA,69,W,-14.5,L,131.5,U
5,"Feb 1, 2020",TEXTK,75,KANSA,78,W,-8.5,L,132.0,O
6,"Jan 27, 2020",KANSA,65,OKST,50,W,7.5,W,136.5,U
7,"Jan 25, 2020",TENN,68,KANSA,74,W,-13.0,L,128.5,O
8,"Jan 21, 2020",KANST,60,KANSA,81,W,-16.5,W,127.0,O
9,"Jan 18, 2020",KANSA,66,TEXAS,57,W,7.5,W,130.0,U
10,"Jan 14, 2020",KANSA,66,OKLA,52,W,4.5,W,137.0,U
11,"Jan 11, 2020",BAYLR,67,KANSA,55,L,-8.0,L,132.5,U
12,"Jan 8, 2020",KANSA,79,IOWAS,53,W,5.5,W,146.0,U
13,"Jan 4, 2020",W.VA,53,KANSA,60,W,-10.0,L,141.5,U
14,"Dec 29, 2019",KANSA,72,STANF,56,W,6.5,W,137.0,U
15,"Dec 21, 2019",KANSA,55,VILLA,56,L,2.0,L,147.0,U
16,"Dec 14, 2019",UMKC,57,KANSA,98,W,-23.5,W,137.5,O
17,"Dec 10, 2019",WISML,68,KANSA,95,W,-26.0,W,138.0,O
18,"Dec 7, 2019",COLO,58,KANSA,72,W,-10.5,W,138.5,U
19,"Nov 27, 2019",DAYTN,84,KANSA,90,W,-4.0,W,147.0,O
20,"Nov 26, 2019",KANSA,71,BYU,56,W,12.5,W,146.5,U
21,"Nov 25, 2019",KANSA,93,CHAMI,63,W,35.0,L,157.5,U
22,"Nov 19, 2019",E.TEN,63,KANSA,75,W,-15.0,L,144.0,U
23,"Nov 15, 2019",MONMO,57,KANSA,112,W,-26.5,W,141.0,O
24,"Nov 8, 2019",NCGRE,62,KANSA,74,W,-14.5,L,139.5,U
25,"Nov 5, 2019",KANSA,66,DUKE,68,L,2.0,L,151.0,U
26,"Mar 23, 2019",AUBRN,89,KANSA,75,L,2.0,L,147.0,O
27,"Mar 21, 2019",NEAST,53,KANSA,87,W,-7.0,W,143.0,U
28,"Mar 16, 2019",IOWAS,78,KANSA,66,L,-1.0,L,144.0,P
29,"Mar 15, 2019",W.VA,74,KANSA,88,W,-9.5,W,147.0,O
