,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",KENNE,42,STETS,59,L,-12.0,L,124.0,U
1,"Feb 13, 2020",FLAGC,70,KENNE,58,L,7.5,L,127.0,O
2,"Feb 8, 2020",LIPSC,72,KENNE,66,L,9.5,W,137.0,O
3,"Feb 1, 2020",KENNE,45,N.FLA,86,L,-19.5,L,148.5,U
4,"Jan 30, 2020",KENNE,45,LIBRT,83,L,-25.0,L,119.0,O
5,"Jan 25, 2020",JAXVL,83,KENNE,64,L,9.5,L,129.0,O
6,"Jan 23, 2020",N.ALAB,78,KENNE,58,L,7.5,L,131.5,O
7,"Jan 18, 2020",KENNE,48,NJIT,66,L,-13.5,L,131.5,U
8,"Jan 16, 2020",KENNE,51,FLAGC,73,L,-9.0,L,126.0,U
9,"Jan 9, 2020",KENNE,73,LIPSC,85,L,-13.5,W,134.5,O
10,"Jan 4, 2020",STETS,57,KENNE,54,L,2.0,L,130.0,U
11,"Jan 2, 2020",N.FLA,76,KENNE,57,L,11.0,L,148.5,U
12,"Dec 29, 2019",KENNE,51,IOWA,93,L,-29.0,L,146.0,U
13,"Dec 22, 2019",WOFFD,83,KENNE,70,L,14.0,W,136.0,O
14,"Dec 18, 2019",KENNE,44,BELMT,83,L,-24.5,L,144.0,U
15,"Dec 16, 2019",KENNE,38,MURRAY,74,L,-19.5,L,135.5,U
16,"Dec 13, 2019",G.WEB,61,KENNE,85,W,12.0,W,134.0,O
17,"Dec 7, 2019",FLAIN,84,KENNE,81,L,16.0,W,142.0,O
18,"Dec 4, 2019",KENNE,54,NCGRE,72,L,-25.0,W,124.5,O
19,"Dec 2, 2019",KENNE,46,ELON,70,L,-7.0,L,132.0,U
20,"Nov 23, 2019",IONA,75,KENNE,52,L,12.0,L,146.5,U
21,"Nov 22, 2019",KENNE,40,MONMO,71,L,-8.0,L,136.0,U
22,"Nov 11, 2019",KENNE,62,MERCR,74,L,-11.5,L,148.0,U
23,"Nov 7, 2019",KENNE,55,DRAKE,86,L,-15.0,L,148.5,U
24,"Nov 5, 2019",KENNE,55,CREIG,81,L,-26.0,P,151.5,U
25,"Mar 4, 2019",KENNE,71,LIPSC,86,L,-26.0,W,146.5,O
26,"Mar 1, 2019",STETS,82,KENNE,83,W,-1.0,P,142.5,O
27,"Feb 26, 2019",KENNE,59,LIBRT,76,L,-22.0,W,131.5,O
28,"Feb 23, 2019",KENNE,56,FLAGC,78,L,-13.0,L,138.5,U
29,"Feb 20, 2019",N.ALAB,76,KENNE,61,L,2.5,L,138.0,U
