,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 18, 2020",KENT,49,EMICH,70,L,2.5,L,128.5,U
1,"Feb 15, 2020",OHIO,72,KENT,87,W,-6.0,W,139.0,O
2,"Feb 7, 2020",KENT,54,N.ILL,57,L,2.0,L,132.0,U
3,"Feb 4, 2020",BALL,62,KENT,54,L,-4.0,L,136.5,U
4,"Jan 31, 2020",AKRON,67,KENT,68,W,-1.5,L,145.5,U
5,"Jan 28, 2020",KENT,83,TOLDO,70,W,-4.0,W,146.0,O
6,"Jan 24, 2020",KENT,70,BUFF,66,W,-3.5,W,156.5,U
7,"Jan 21, 2020",N.ILL,76,KENT,69,L,-9.0,L,135.0,O
8,"Jan 18, 2020",KENT,63,WMICH,67,L,5.5,L,144.5,U
9,"Jan 14, 2020",KENT,74,MIAOH,77,L,4.5,L,148.5,O
10,"Jan 11, 2020",CMICH,73,KENT,79,W,-8.5,L,157.5,U
11,"Jan 7, 2020",TOLDO,77,KENT,84,W,-3.5,W,144.0,O
12,"Jan 3, 2020",KENT,79,BOWLG,61,W,-2.0,W,147.5,U
13,"Dec 30, 2019",KENT,68,MISST,96,L,-7.5,L,138.0,O
14,"Dec 21, 2019",HAMPT,64,KENT,103,W,-19.5,W,145.0,O
15,"Dec 17, 2019",KENT,85,NCA&T,71,W,14.0,P,132.5,O
16,"Dec 16, 2019",KENT,68,UCI,74,L,2.5,L,137.5,O
17,"Dec 7, 2019",CLEST,59,KENT,81,W,-18.5,W,132.0,O
18,"Dec 3, 2019",DETRT,57,KENT,92,W,-13.0,W,150.5,U
19,"Nov 30, 2019",STETS,53,KENT,77,W,-16.0,W,130.0,P
20,"Nov 25, 2019",KENT,52,OHIOS,71,L,-17.0,L,129.5,U
21,"Nov 21, 2019",CONC,59,KENT,89,W,0.0,,0.0,
22,"Nov 19, 2019",IPFW,68,KENT,75,W,-9.5,L,149.5,U
23,"Nov 16, 2019",KENT,72,WRIGH,71,W,-5.5,W,144.5,U
24,"Nov 11, 2019",KENT,84,TOWSN,80,W,-3.0,W,138.5,O
25,"Nov 6, 2019",HIRAM,58,KENT,97,W,0.0,,0.0,
26,"Mar 21, 2019",KENT,77,ULMON,87,L,-3.0,L,155.5,O
27,"Mar 14, 2019",CMICH,89,KENT,81,L,-1.5,L,153.0,O
28,"Mar 8, 2019",AKRON,65,KENT,68,W,-1.5,W,135.0,U
29,"Mar 5, 2019",KENT,75,MIAOH,66,W,-4.0,W,144.0,U
