,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 18, 2020",KENTY,79,LSU,76,W,-2.5,W,149.5,O
1,"Feb 15, 2020",MISS,62,KENTY,67,W,-10.0,L,137.5,U
2,"Feb 11, 2020",KENTY,78,VANDY,64,W,11.0,W,144.0,U
3,"Feb 8, 2020",KENTY,77,TENN,64,W,2.5,W,131.5,O
4,"Feb 4, 2020",MISST,72,KENTY,80,W,-6.5,W,139.5,O
5,"Feb 1, 2020",KENTY,66,AUBRN,75,L,-2.5,L,144.0,U
6,"Jan 29, 2020",VANDY,62,KENTY,71,W,-20.5,L,142.0,U
7,"Jan 25, 2020",KENTY,76,TEXTK,74,W,-3.5,W,133.0,O
8,"Jan 21, 2020",GA,79,KENTY,89,W,-12.0,L,144.5,O
9,"Jan 18, 2020",KENTY,73,ARK,66,W,-2.0,W,138.0,O
10,"Jan 15, 2020",KENTY,78,S.CAR,81,L,6.0,L,136.0,O
11,"Jan 11, 2020",ALA,67,KENTY,76,W,-10.0,L,153.5,U
12,"Jan 7, 2020",KENTY,78,GA,69,W,3.5,W,142.0,O
13,"Jan 4, 2020",MIZZU,59,KENTY,71,W,-8.5,W,127.0,O
14,"Dec 28, 2019",LOUIS,70,KENTY,78,W,-2.0,W,131.5,O
15,"Dec 21, 2019",OHIOS,71,KENTY,65,L,3.5,L,130.5,O
16,"Dec 18, 2019",KENTY,66,UTAH,69,L,9.5,L,138.5,U
17,"Dec 14, 2019",GATEC,53,KENTY,67,W,-14.5,L,135.0,U
18,"Dec 7, 2019",FDU,52,KENTY,83,W,-24.5,W,137.5,U
19,"Nov 29, 2019",UAB,58,KENTY,69,W,-20.0,L,124.0,O
20,"Nov 24, 2019",LAMAR,56,KENTY,81,W,-25.0,P,137.5,U
21,"Nov 22, 2019",MTSTM,62,KENTY,82,W,-27.5,L,129.0,O
22,"Nov 18, 2019",UTVAL,74,KENTY,82,W,-25.0,L,134.5,O
23,"Nov 12, 2019",EVANS,67,KENTY,64,L,-25.0,L,139.0,U
24,"Nov 8, 2019",EKENT,49,KENTY,91,W,-28.5,W,151.0,U
25,"Nov 5, 2019",MICHS,62,KENTY,69,W,3.0,W,140.5,U
26,"Mar 31, 2019",AUBRN,77,KENTY,71,L,-4.5,L,142.5,O
27,"Mar 29, 2019",HOUST,58,KENTY,62,W,-2.0,W,135.5,U
28,"Mar 23, 2019",WOFFD,56,KENTY,62,W,-5.5,W,139.0,U
29,"Mar 21, 2019",ABILE,44,KENTY,79,W,-20.5,W,132.0,U
