,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 18, 2020",KENTY,79,LSU,76,L,-2.5,L,149.5,O
1,"Feb 15, 2020",LSU,82,ALA,88,L,-2.5,L,165.5,O
2,"Feb 11, 2020",MIZZU,78,LSU,82,W,-11.5,L,144.0,O
3,"Feb 8, 2020",LSU,90,AUBRN,91,L,-5.0,W,155.0,O
4,"Feb 5, 2020",LSU,90,VANDY,99,L,11.0,L,146.5,O
5,"Feb 1, 2020",MISS,63,LSU,73,W,-11.0,L,148.0,U
6,"Jan 29, 2020",ALA,76,LSU,90,W,-5.5,W,166.0,P
7,"Jan 25, 2020",LSU,69,TEXAS,67,W,-1.5,W,142.0,U
8,"Jan 21, 2020",FLA,82,LSU,84,W,-3.0,L,142.5,O
9,"Jan 18, 2020",LSU,80,MISS,76,W,4.5,L,145.5,O
10,"Jan 14, 2020",LSU,89,TEXAM,85,W,6.5,L,129.0,O
11,"Jan 11, 2020",MISST,59,LSU,60,W,-7.0,L,145.0,U
12,"Jan 8, 2020",ARK,77,LSU,79,W,-6.0,L,147.5,O
13,"Jan 4, 2020",LSU,78,TENN,64,W,-1.5,W,134.0,O
14,"Dec 29, 2019",LIBRT,57,LSU,74,W,-7.0,W,135.0,U
15,"Dec 21, 2019",LSU,68,USC,70,L,2.0,L,150.5,U
16,"Dec 18, 2019",E.TEN,74,LSU,63,L,-9.0,L,150.0,U
17,"Dec 8, 2019",NWST,59,LSU,109,W,-30.5,W,147.5,O
18,"Dec 3, 2019",NEWOR,54,LSU,90,W,-20.0,W,150.5,U
19,"Nov 29, 2019",MIZST,58,LSU,73,W,-13.0,W,138.5,U
20,"Nov 24, 2019",LSU,96,RHODEI,83,W,6.5,W,149.0,O
21,"Nov 22, 2019",UT.ST,80,LSU,78,L,1.5,L,146.5,O
22,"Nov 19, 2019",UMBC,50,LSU,77,W,-17.5,W,143.5,U
23,"Nov 16, 2019",NICHL,65,LSU,75,W,-21.0,L,151.5,U
24,"Nov 13, 2019",LSU,82,VACOM,84,L,-3.5,W,141.5,O
25,"Nov 8, 2019",BOWLG,79,LSU,88,W,-13.5,L,158.0,O
26,"Mar 29, 2019",LSU,63,MICHS,80,L,-6.0,L,148.0,U
27,"Mar 23, 2019",MARYL,67,LSU,69,W,-3.0,L,147.0,U
28,"Mar 21, 2019",YALE,74,LSU,79,W,-7.0,L,157.0,U
29,"Mar 15, 2019",FLA,76,LSU,73,L,-3.5,L,136.0,O
