,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",LASAL,69,STL,84,L,-8.0,L,132.5,O
1,"Feb 12, 2020",RICHM,74,LASAL,47,L,4.5,L,143.5,U
2,"Feb 8, 2020",STJOE,66,LASAL,83,W,-7.5,W,148.0,O
3,"Feb 2, 2020",LASAL,69,DUQU,71,L,-9.5,W,134.5,O
4,"Jan 29, 2020",STL,77,LASAL,76,L,3.5,W,133.5,O
5,"Jan 25, 2020",VACOM,76,LASAL,65,L,10.0,L,136.5,O
6,"Jan 22, 2020",LASAL,57,RICHM,75,L,-9.0,L,138.0,U
7,"Jan 18, 2020",LASAL,63,RHODEI,66,L,-10.0,W,140.0,U
8,"Jan 11, 2020",GMASN,76,LASAL,63,L,-3.5,L,134.5,O
9,"Jan 8, 2020",LASAL,69,UMASS,77,L,-3.5,L,142.5,O
10,"Jan 5, 2020",LASAL,66,FORDM,60,W,2.5,W,121.0,O
11,"Jan 2, 2020",DAYTN,84,LASAL,58,L,10.5,L,137.5,O
12,"Dec 28, 2019",BUCKN,59,LASAL,71,W,-5.5,W,145.0,U
13,"Dec 21, 2019",FDU,58,LASAL,66,W,-10.5,L,140.0,U
14,"Dec 18, 2019",WAGNR,60,LASAL,74,W,-12.5,W,139.5,U
15,"Dec 14, 2019",MORGN,68,LASAL,85,W,-10.5,W,139.5,O
16,"Dec 7, 2019",LASAL,71,DREXL,63,W,2.0,W,142.0,U
17,"Dec 1, 2019",LASAL,72,VILLA,83,L,-18.5,W,141.5,O
18,"Nov 27, 2019",S.ALA,76,LASAL,81,W,5.0,W,136.5,O
19,"Nov 26, 2019",WRIGH,70,LASAL,72,W,7.5,W,137.0,O
20,"Nov 25, 2019",MURRAY,64,LASAL,75,W,7.5,W,137.5,O
21,"Nov 16, 2019",TEMPL,70,LASAL,65,L,6.0,W,140.0,U
22,"Nov 13, 2019",LASAL,59,PENN,75,L,-8.5,L,140.0,U
23,"Nov 9, 2019",IONA,64,LASAL,70,W,1.0,W,153.0,U
24,"Mar 14, 2019",LASAL,57,RHODEI,76,L,-5.5,L,136.0,U
25,"Mar 9, 2019",FORDM,57,LASAL,72,W,-6.5,W,135.5,U
26,"Mar 6, 2019",LASAL,39,DAYTN,70,L,-10.5,L,141.0,U
27,"Mar 2, 2019",LASAL,62,STJOE,72,L,-6.5,L,144.0,U
28,"Feb 27, 2019",DAVID,69,LASAL,79,W,6.5,W,135.0,O
29,"Feb 23, 2019",RICHM,84,LASAL,75,L,-2.0,L,143.0,O
