,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",BOSTU,59,LAFAY,61,W,2.0,W,139.5,U
1,"Feb 15, 2020",LAFAY,72,HOLYC,62,W,6.5,W,145.5,U
2,"Feb 12, 2020",LAFAY,48,ARMY,65,L,2.0,L,144.5,U
3,"Feb 8, 2020",LEHIH,62,LAFAY,59,L,-8.0,L,144.0,U
4,"Feb 3, 2020",LAFAY,65,BUCKN,62,W,-1.5,W,143.5,U
5,"Feb 1, 2020",AMERN,70,LAFAY,82,W,-3.5,W,144.5,O
6,"Jan 29, 2020",LAFAY,80,COLGT,78,W,-7.5,W,143.0,O
7,"Jan 25, 2020",LAFAY,74,LEHIH,56,W,1.5,W,145.0,U
8,"Jan 22, 2020",ARMY,94,LAFAY,74,L,-7.5,L,142.0,O
9,"Jan 18, 2020",LAFAY,66,NAVY,68,L,-1.5,L,126.0,O
10,"Jan 15, 2020",COLGT,67,LAFAY,71,W,3.5,W,144.5,U
11,"Jan 11, 2020",LAFAY,65,LOYMD,62,W,1.0,W,144.5,U
12,"Jan 8, 2020",HOLYC,64,LAFAY,82,W,-10.0,W,144.5,O
13,"Jan 5, 2020",BUCKN,78,LAFAY,66,L,-3.0,L,145.0,U
14,"Jan 2, 2020",LAFAY,72,BOSTU,73,L,-3.0,W,140.5,O
15,"Dec 29, 2019",LAFAY,67,SACRD,66,W,-5.5,W,150.0,U
16,"Dec 22, 2019",LAFAY,44,RUTGR,63,L,-15.5,L,139.5,U
17,"Dec 19, 2019",WIDEN,56,LAFAY,96,W,-28.5,W,143.5,O
18,"Dec 7, 2019",LAFAY,62,CORNL,59,W,2.0,W,136.5,U
19,"Dec 3, 2019",LAFAY,94,STJOE,71,W,-6.0,W,151.0,O
20,"Nov 24, 2019",FDU,75,LAFAY,80,W,-4.5,W,137.5,O
21,"Nov 19, 2019",PENN,75,LAFAY,86,W,7.0,W,143.0,O
22,"Nov 16, 2019",DELA,81,LAFAY,73,L,1.5,L,138.0,O
23,"Nov 13, 2019",LAFAY,72,PRNCE,65,W,-6.0,W,145.0,U
24,"Nov 9, 2019",LAFAY,72,STFNY,73,L,-1.0,P,142.5,O
25,"Nov 5, 2019",COLUM,63,LAFAY,65,W,1.0,W,153.0,U
26,"Mar 5, 2019",HOLYC,79,LAFAY,74,L,1.5,L,140.5,O
27,"Mar 2, 2019",COLGT,76,LAFAY,70,L,6.5,W,149.0,U
28,"Feb 27, 2019",BOSTU,84,LAFAY,82,L,1.0,L,148.0,O
29,"Feb 24, 2019",LAFAY,76,BUCKN,118,L,-11.5,L,152.5,O
