,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",HOUBPT,69,LAMAR,79,W,-10.5,L,165.5,U
1,"Feb 12, 2020",LAMAR,65,NICHL,69,L,-7.5,W,141.0,U
2,"Feb 8, 2020",LAMAR,49,ABILE,84,L,-6.5,L,136.0,U
3,"Feb 5, 2020",C.ARK,67,LAMAR,74,W,-3.5,W,150.0,U
4,"Feb 1, 2020",LAMAR,96,MCNEE,91,W,-4.5,W,144.0,O
5,"Jan 25, 2020",SFA,70,LAMAR,62,L,5.0,L,141.0,U
6,"Jan 22, 2020",LAMAR,89,INCAR,77,W,6.0,W,131.5,O
7,"Jan 18, 2020",LAMAR,58,TEXCC,64,L,0.0,,124.0,U
8,"Jan 15, 2020",SAMHO,80,LAMAR,75,L,1.0,L,140.0,O
9,"Jan 11, 2020",LAMAR,102,HOUBPT,92,W,5.0,W,161.0,O
10,"Jan 8, 2020",NICHL,61,LAMAR,52,L,-2.0,L,135.5,U
11,"Jan 4, 2020",ABILE,74,LAMAR,62,L,-2.5,L,132.5,O
12,"Jan 2, 2020",LAMAR,74,NEWOR,67,W,1.0,W,141.0,P
13,"Dec 21, 2019",LAMAR,61,NWST,67,L,7.5,L,140.5,U
14,"Dec 18, 2019",SELA,73,LAMAR,79,W,-10.0,L,141.5,O
15,"Dec 14, 2019",LAMAR,50,TCU,79,L,-16.5,L,132.5,U
16,"Dec 7, 2019",RICE,60,LAMAR,73,W,0.0,W,147.5,U
17,"Nov 30, 2019",LAMAR,73,TEXSO,76,L,1.5,L,145.5,O
18,"Nov 26, 2019",LAMAR,48,UAB,57,L,-6.0,L,130.0,U
19,"Nov 24, 2019",LAMAR,56,KENTY,81,L,-25.0,P,137.5,U
20,"Nov 21, 2019",LAMAR,74,UTVAL,68,W,-7.5,W,141.0,O
21,"Nov 15, 2019",MTSTM,61,LAMAR,76,W,-5.5,W,136.5,O
22,"Nov 12, 2019",LAMAR,56,DUQU,66,L,-13.0,W,146.5,U
23,"Nov 8, 2019",ARBAPT,61,LAMAR,106,W,0.0,,0.0,
24,"Nov 5, 2019",CHMBAP,40,LAMAR,86,W,0.0,,0.0,
25,"Mar 14, 2019",LAMAR,72,NEWOR,76,L,4.0,L,139.5,O
26,"Mar 13, 2019",HOUBPT,79,LAMAR,81,W,-5.5,L,162.5,U
27,"Mar 9, 2019",MCNEE,58,LAMAR,83,W,-12.0,W,144.5,U
28,"Mar 2, 2019",SFA,79,LAMAR,81,W,-8.5,L,143.0,O
29,"Feb 27, 2019",HOUBPT,75,LAMAR,110,W,-5.5,W,157.0,O
