,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",LEHIH,67,COLGT,70,L,-13.0,W,146.5,U
1,"Feb 15, 2020",LEHIH,66,ARMY,79,L,-4.5,L,143.0,O
2,"Feb 12, 2020",HOLYC,82,LEHIH,89,W,-8.0,L,146.0,O
3,"Feb 8, 2020",LEHIH,62,LAFAY,59,W,-8.0,W,144.0,U
4,"Feb 5, 2020",COLGT,81,LEHIH,51,L,7.0,L,149.0,U
5,"Feb 1, 2020",ARMY,80,LEHIH,79,L,-1.0,L,146.0,O
6,"Jan 27, 2020",LEHIH,56,AMERN,77,L,-7.0,L,145.0,U
7,"Jan 25, 2020",LAFAY,74,LEHIH,56,L,1.5,L,145.0,U
8,"Jan 22, 2020",LEHIH,95,HOLYC,96,L,4.5,L,145.5,O
9,"Jan 18, 2020",LEHIH,56,BUCKN,72,L,-6.0,L,144.5,U
10,"Jan 15, 2020",NAVY,88,LEHIH,83,L,-2.5,L,124.5,O
11,"Jan 11, 2020",AMERN,73,LEHIH,82,W,-1.0,W,142.0,O
12,"Jan 8, 2020",LEHIH,67,BOSTU,84,L,-5.5,L,139.0,O
13,"Jan 5, 2020",LOYMD,71,LEHIH,78,W,0.0,W,139.5,O
14,"Jan 2, 2020",LEHIH,58,NAVY,64,L,-3.5,L,125.0,U
15,"Dec 29, 2019",LEHIH,62,PRNCE,71,L,-7.5,L,142.5,U
16,"Dec 21, 2019",LEHIH,51,AUBRN,74,L,-25.0,W,146.5,U
17,"Dec 7, 2019",YALE,78,LEHIH,65,L,7.5,L,131.0,O
18,"Dec 4, 2019",LEHIH,69,STFPA,77,L,-4.0,L,142.5,O
19,"Nov 30, 2019",LEHIH,64,COLUM,68,L,-5.0,W,142.5,U
20,"Nov 23, 2019",LEHIH,66,STMAR,77,L,-20.5,W,132.5,O
21,"Nov 21, 2019",LEHIH,58,DRAKE,74,L,-10.5,L,141.5,U
22,"Nov 18, 2019",MIS,68,LEHIH,87,W,0.0,,0.0,
23,"Nov 16, 2019",LEHIH,53,VATEC,79,L,-15.0,L,141.5,U
24,"Nov 12, 2019",CAIRN,43,LEHIH,80,W,0.0,,0.0,
25,"Nov 9, 2019",LEHIH,74,ALBNY,70,W,-7.5,W,147.0,U
26,"Nov 5, 2019",MONMO,66,LEHIH,62,L,-4.5,L,149.0,U
27,"Mar 10, 2019",LEHIH,75,BUCKN,97,L,-6.0,L,159.5,O
28,"Mar 7, 2019",ARMY,70,LEHIH,75,W,-5.5,L,153.0,U
29,"Mar 2, 2019",LEHIH,73,LOYMD,92,L,3.5,L,158.0,O
