,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",NJIT,49,LIBRT,62,W,-15.5,L,119.0,U
1,"Feb 8, 2020",LIBRT,74,N.ALAB,56,W,9.5,W,125.0,O
2,"Feb 6, 2020",LIBRT,0,JAXVL,0,T,0.0,,0.0,
3,"Feb 1, 2020",FLAGC,46,LIBRT,61,W,-16.5,L,113.0,U
4,"Jan 30, 2020",KENNE,45,LIBRT,83,W,-25.0,W,119.0,O
5,"Jan 25, 2020",LIBRT,43,STETS,48,L,13.5,L,113.0,U
6,"Jan 23, 2020",LIBRT,70,N.FLA,71,L,6.5,L,131.0,O
7,"Jan 18, 2020",LIPSC,60,LIBRT,67,W,-14.5,L,125.0,O
8,"Jan 11, 2020",JAXVL,37,LIBRT,54,W,-16.5,W,117.5,U
9,"Jan 9, 2020",N.ALAB,52,LIBRT,63,W,-19.0,L,123.5,U
10,"Jan 4, 2020",LIBRT,65,NJIT,38,W,9.0,W,126.0,U
11,"Jan 2, 2020",LIBRT,59,FLAGC,46,W,13.5,L,117.5,U
12,"Dec 29, 2019",LIBRT,57,LSU,74,L,-7.0,L,135.0,U
13,"Dec 21, 2019",AKRON,67,LIBRT,80,W,-3.5,W,124.0,O
14,"Dec 20, 2019",LIBRT,66,TOWSN,54,W,7.0,W,120.5,U
15,"Dec 14, 2019",LIBRT,61,VANDY,56,W,0.0,,130.5,U
16,"Dec 8, 2019",LIBRT,70,GRCNYN,61,W,8.5,W,124.0,O
17,"Dec 2, 2019",TRINBP,28,LIBRT,87,W,0.0,,0.0,
18,"Nov 29, 2019",KYCHRS,42,LIBRT,88,W,0.0,,0.0,
19,"Nov 24, 2019",LIBRT,62,UMKC,49,W,10.5,W,121.5,U
20,"Nov 23, 2019",LIBRT,71,RICE,59,W,8.0,W,135.0,U
21,"Nov 22, 2019",LIBRT,89,MORGN,48,W,14.5,W,125.5,O
22,"Nov 19, 2019",NAVY,48,LIBRT,55,W,-15.5,L,117.0,U
23,"Nov 16, 2019",LIBRT,77,E.CAR,57,W,7.0,W,125.5,O
24,"Nov 12, 2019",SC.ST,39,LIBRT,65,W,-18.0,W,135.5,U
25,"Nov 10, 2019",MD-ES,55,LIBRT,66,W,-27.0,L,127.0,U
26,"Nov 8, 2019",RADFD,60,LIBRT,66,W,-6.5,L,131.0,U
27,"Mar 24, 2019",LIBRT,58,VATEC,67,L,-9.5,W,127.0,U
28,"Mar 22, 2019",LIBRT,80,MISST,76,W,-7.0,W,132.5,O
29,"Mar 10, 2019",LIBRT,74,LIPSC,68,W,-6.5,W,136.5,O
