,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",FLAGC,54,LIPSC,64,W,-6.0,W,134.0,U
1,"Feb 13, 2020",NJIT,63,LIPSC,77,W,-3.5,W,138.5,O
2,"Feb 8, 2020",LIPSC,72,KENNE,66,W,9.5,L,137.0,O
3,"Feb 6, 2020",LIPSC,73,N.ALAB,71,W,-3.0,W,141.5,O
4,"Feb 1, 2020",STETS,55,LIPSC,53,L,-6.5,L,135.0,U
5,"Jan 25, 2020",N.FLA,73,LIPSC,85,W,1.0,W,153.0,O
6,"Jan 23, 2020",JAXVL,89,LIPSC,85,L,-3.5,L,132.5,O
7,"Jan 18, 2020",LIPSC,60,LIBRT,67,L,-14.5,W,125.0,O
8,"Jan 16, 2020",LIPSC,57,NJIT,75,L,-2.0,L,139.5,U
9,"Jan 11, 2020",N.ALAB,82,LIPSC,69,L,-6.5,L,139.5,O
10,"Jan 9, 2020",KENNE,73,LIPSC,85,W,-13.5,L,134.5,O
11,"Jan 4, 2020",LIPSC,61,FLAGC,68,L,4.5,L,133.0,U
12,"Jan 2, 2020",LIPSC,66,STETS,63,W,5.0,L,139.0,U
13,"Dec 29, 2019",LIPSC,59,AUBRN,86,L,-21.0,L,148.5,U
14,"Dec 20, 2019",LIPSC,63,VERMT,86,L,-10.5,L,135.5,O
15,"Dec 17, 2019",TNTEC,60,LIPSC,78,W,-13.5,W,137.0,O
16,"Dec 8, 2019",TREVNZ,72,LIPSC,96,W,0.0,,0.0,
17,"Dec 3, 2019",LIPSC,75,BELMT,80,L,-17.5,W,149.5,O
18,"Nov 30, 2019",LIPSC,62,XAVIR,87,L,-17.5,L,134.5,O
19,"Nov 25, 2019",LIPSC,78,TNTEC,65,W,3.5,W,127.0,O
20,"Nov 22, 2019",LIPSC,65,NAVY,61,W,1.5,W,129.0,U
21,"Nov 20, 2019",BELMT,73,LIPSC,67,L,10.5,W,152.5,U
22,"Nov 15, 2019",LIPSC,36,DUQU,58,L,-10.5,L,146.5,U
23,"Nov 12, 2019",LIPSC,78,TN.ST,79,L,2.5,L,147.0,O
24,"Nov 9, 2019",MIDTN,73,LIPSC,70,L,-3.5,L,144.0,U
25,"Nov 5, 2019",RHODES,55,LIPSC,104,W,0.0,,0.0,
26,"Apr 4, 2019",LIPSC,66,TEXAS,81,L,-1.5,L,142.5,O
27,"Apr 2, 2019",WICHI,64,LIPSC,71,W,-1.0,W,150.0,U
28,"Mar 27, 2019",LIPSC,94,NCST,93,W,-5.0,W,163.0,O
29,"Mar 23, 2019",LIPSC,86,NCGRE,69,W,-1.5,W,156.0,U
