,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",UCRIV,63,LONGB,65,W,3.0,W,131.0,U
1,"Feb 13, 2020",LONGB,50,HAWAI,49,W,-12.0,W,149.0,U
2,"Feb 5, 2020",LONGB,75,CALPO,92,L,1.0,L,142.5,O
3,"Feb 1, 2020",SABAR,87,LONGB,62,L,6.0,L,140.0,O
4,"Jan 30, 2020",LONGB,69,UCRIV,77,L,-7.5,L,135.5,O
5,"Jan 22, 2020",UCI,56,LONGB,63,W,10.0,W,142.0,U
6,"Jan 18, 2020",FULLR,66,LONGB,62,L,-1.5,L,140.0,U
7,"Jan 16, 2020",UCDAV,85,LONGB,82,L,-1.0,L,138.5,O
8,"Jan 11, 2020",LONGB,55,SABAR,52,W,-14.0,W,145.0,U
9,"Jan 8, 2020",LONGB,77,CSNOR,95,L,-7.0,L,156.5,O
10,"Jan 4, 2020",CAL-LA,60,LONGB,76,W,0.0,,0.0,
11,"Dec 28, 2019",LONGB,63,FLA,102,L,-22.5,L,137.5,O
12,"Dec 23, 2019",LONGB,57,SEATT,79,L,-5.5,L,139.5,U
13,"Dec 21, 2019",UTVAL,65,LONGB,68,W,-2.0,W,150.0,U
14,"Dec 19, 2019",SUTAH,84,LONGB,63,L,1.5,L,143.5,O
15,"Dec 15, 2019",LONGB,76,USC,87,L,-17.5,W,148.0,O
16,"Dec 7, 2019",PACIF,65,LONGB,46,L,-1.0,L,134.0,U
17,"Dec 1, 2019",LONGB,79,PENN,95,L,-9.5,L,151.5,O
18,"Nov 29, 2019",LONGB,75,WAKE,88,L,-8.0,L,144.0,O
19,"Nov 28, 2019",PROV,65,LONGB,66,W,16.5,W,146.0,U
20,"Nov 24, 2019",LONGB,67,ARIZ,104,L,-25.5,L,142.5,O
21,"Nov 22, 2019",FRSPAC,62,LONGB,93,W,0.0,,0.0,
22,"Nov 14, 2019",LONGB,63,STMAR,81,L,-19.5,W,132.5,O
23,"Nov 12, 2019",LONGB,58,STANF,86,L,-13.0,L,143.0,O
24,"Nov 9, 2019",SD,62,LONGB,74,W,2.5,W,142.0,U
25,"Nov 6, 2019",LONGB,65,UCLA,69,L,-17.0,W,144.5,U
26,"Mar 15, 2019",LONGB,67,UCI,75,L,-9.0,W,138.5,O
27,"Mar 14, 2019",LONGB,68,HAWAI,66,W,-2.0,W,145.5,U
28,"Mar 6, 2019",UCRIV,57,LONGB,70,W,-8.5,W,144.5,U
29,"Mar 2, 2019",CALPO,85,LONGB,94,W,-9.0,P,142.0,O
