,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",HAMPT,68,LONGW,76,W,-4.0,W,151.5,U
1,"Feb 13, 2020",LONGW,71,NCASH,73,L,-6.0,W,143.5,O
2,"Feb 10, 2020",CAMBP,0,LONGW,0,T,0.0,,0.0,
3,"Feb 8, 2020",WINTH,70,LONGW,68,L,9.5,W,147.0,U
4,"Feb 6, 2020",CHASO,63,LONGW,71,W,-1.0,W,137.0,U
5,"Feb 1, 2020",LONGW,84,G.WEB,81,W,-8.0,W,135.5,O
6,"Jan 30, 2020",RADFD,67,LONGW,55,L,7.0,L,135.5,U
7,"Jan 25, 2020",LONGW,72,HIGHP,62,W,1.0,W,135.0,U
8,"Jan 20, 2020",NCASH,71,LONGW,66,L,1.0,L,148.0,U
9,"Jan 18, 2020",LONGW,58,CAMBP,68,L,-8.0,L,131.5,U
10,"Jan 16, 2020",PRESB,74,LONGW,67,L,-4.5,L,136.5,O
11,"Jan 11, 2020",LONGW,80,HAMPT,83,L,-3.0,P,147.5,O
12,"Jan 8, 2020",LONGW,74,CHASO,56,W,-5.5,W,141.0,U
13,"Jan 4, 2020",USCUP,73,LONGW,56,L,-5.5,L,146.0,U
14,"Jan 2, 2020",LONGW,67,WINTH,91,L,-11.5,L,147.5,O
15,"Dec 28, 2019",LONGW,65,GWASH,78,L,-8.5,L,135.5,O
16,"Dec 19, 2019",CITDL,102,LONGW,99,L,-5.5,L,159.0,O
17,"Dec 15, 2019",LONGW,76,STETS,72,W,-2.0,W,131.0,O
18,"Dec 7, 2019",LONGW,65,MORGN,73,L,-2.0,L,138.5,U
19,"Dec 4, 2019",LONGW,41,NCA&T,52,L,0.0,,132.0,U
20,"Nov 29, 2019",LONGW,51,PACIF,69,L,-10.0,L,128.5,U
21,"Nov 26, 2019",LONGW,58,UCRIV,71,L,-5.5,L,126.5,O
22,"Nov 18, 2019",LONGW,48,N.ILL,65,L,-6.5,L,138.5,U
23,"Nov 15, 2019",RANDLPH,53,LONGW,78,W,-32.5,L,140.5,U
24,"Nov 14, 2019",STFNY,77,LONGW,86,W,-6.0,W,142.0,O
25,"Nov 12, 2019",MD-ES,55,LONGW,85,W,-14.5,W,134.5,O
26,"Nov 8, 2019",LONGW,65,GMASN,76,L,-10.5,L,136.5,O
27,"Nov 5, 2019",MRMTVA,51,LONGW,73,W,0.0,,0.0,
28,"Mar 25, 2019",LONGW,89,DPAUL,97,L,-14.5,W,155.0,O
29,"Mar 20, 2019",S.MISS,68,LONGW,90,W,9.5,W,136.0,O
