,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",FLAAT,68,LATEC,81,W,-10.5,W,133.0,O
1,"Feb 13, 2020",FLAIN,57,LATEC,60,W,-10.0,L,145.5,U
2,"Feb 8, 2020",LATEC,79,MARSH,83,L,3.0,L,145.5,O
3,"Feb 6, 2020",LATEC,54,W.KEN,65,L,1.0,L,142.0,U
4,"Feb 1, 2020",OLDDO,73,LATEC,76,W,-11.0,L,127.0,O
5,"Jan 30, 2020",CHARL,59,LATEC,72,W,-9.5,W,128.0,O
6,"Jan 25, 2020",LATEC,72,UAB,58,W,4.5,W,127.5,O
7,"Jan 23, 2020",LATEC,80,MIDTN,73,W,9.5,L,139.0,O
8,"Jan 18, 2020",N.TEX,51,LATEC,50,L,-6.0,L,131.5,U
9,"Jan 16, 2020",RICE,56,LATEC,72,W,-14.5,W,146.0,U
10,"Jan 11, 2020",LATEC,64,UTEP,61,W,2.0,W,132.5,U
11,"Jan 9, 2020",LATEC,73,TEXSA,89,L,6.5,L,151.0,O
12,"Jan 4, 2020",S.MISS,50,LATEC,78,W,-15.0,W,136.0,U
13,"Dec 30, 2019",LATEC,80,S.MISS,49,W,7.5,W,135.5,U
14,"Dec 21, 2019",SO.NO,47,LATEC,87,W,0.0,,0.0,
15,"Dec 17, 2019",NCCEN,60,LATEC,69,W,-22.5,L,135.5,U
16,"Dec 14, 2019",ULLAF,59,LATEC,77,W,-14.5,W,148.0,U
17,"Dec 8, 2019",LATEC,68,SAMHO,71,L,5.5,L,145.5,U
18,"Dec 5, 2019",LATEC,74,MISST,67,W,-7.5,W,140.0,O
19,"Nov 30, 2019",SAMFD,57,LATEC,78,W,-12.0,W,149.0,U
20,"Nov 25, 2019",LATEC,75,INDY,88,L,-10.5,L,143.0,O
21,"Nov 22, 2019",N.ALAB,61,LATEC,82,W,-16.5,W,138.0,O
22,"Nov 19, 2019",MSVAL,43,LATEC,76,W,-36.5,L,160.0,U
23,"Nov 16, 2019",LATEC,72,CREIG,82,L,-8.0,L,145.0,O
24,"Nov 12, 2019",WILEY,52,LATEC,98,W,0.0,,0.0,
25,"Nov 6, 2019",LATEC,82,TEXCC,49,W,8.0,W,137.0,U
26,"Mar 14, 2019",LATEC,56,OLDDO,57,L,-4.0,W,125.0,U
27,"Mar 13, 2019",FLAAT,56,LATEC,57,W,-4.0,L,133.0,U
28,"Mar 6, 2019",LATEC,72,FLAAT,69,W,2.0,W,135.0,O
29,"Mar 3, 2019",LATEC,76,FLAIN,83,L,1.5,L,155.0,O
