,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",SYRA,66,LOUIS,90,W,-9.0,W,145.5,O
1,"Feb 15, 2020",LOUIS,62,CLEMS,77,L,4.5,L,129.0,O
2,"Feb 12, 2020",LOUIS,58,GATEC,64,L,6.0,L,137.0,U
3,"Feb 8, 2020",VIRGA,73,LOUIS,80,W,-7.0,P,114.5,O
4,"Feb 5, 2020",WAKE,76,LOUIS,86,W,-15.5,L,142.0,O
5,"Feb 1, 2020",LOUIS,77,NCST,57,W,4.0,W,141.0,U
6,"Jan 29, 2020",LOUIS,86,BC,69,W,11.5,W,132.5,O
7,"Jan 25, 2020",CLEMS,62,LOUIS,80,W,-10.0,W,130.5,O
8,"Jan 22, 2020",GATEC,64,LOUIS,68,W,-13.0,L,133.5,U
9,"Jan 18, 2020",LOUIS,79,DUKE,73,W,-8.0,W,138.5,O
10,"Jan 14, 2020",LOUIS,73,PITT,68,W,6.0,L,128.0,O
11,"Jan 11, 2020",LOUIS,67,ND,64,W,3.5,L,136.5,U
12,"Jan 7, 2020",MIAMI,58,LOUIS,74,W,-13.5,W,144.0,U
13,"Jan 4, 2020",FLAST,78,LOUIS,65,L,-6.5,L,133.5,O
14,"Dec 28, 2019",LOUIS,70,KENTY,78,L,-2.0,L,131.5,O
15,"Dec 18, 2019",MIAOH,46,LOUIS,70,W,-23.0,W,141.5,U
16,"Dec 14, 2019",EKENT,67,LOUIS,99,W,-31.0,W,142.5,O
17,"Dec 10, 2019",LOUIS,57,TEXTK,70,L,7.5,L,127.0,P
18,"Dec 6, 2019",PITT,46,LOUIS,64,W,-12.5,W,129.5,U
19,"Dec 3, 2019",MICH,43,LOUIS,58,W,-6.0,W,138.0,U
20,"Nov 29, 2019",W.KEN,54,LOUIS,71,W,-10.5,W,144.5,U
21,"Nov 24, 2019",AKRON,76,LOUIS,82,W,-18.0,L,135.5,O
22,"Nov 20, 2019",USCUP,50,LOUIS,76,W,-37.0,L,140.5,U
23,"Nov 17, 2019",NCCEN,58,LOUIS,87,W,-33.5,L,139.0,O
24,"Nov 13, 2019",INDST,62,LOUIS,91,W,-20.5,W,145.5,O
25,"Nov 10, 2019",YOUNG,55,LOUIS,78,W,-26.0,L,149.0,U
26,"Nov 5, 2019",LOUIS,87,MIAMI,74,W,6.5,W,144.5,O
27,"Mar 21, 2019",MINN,86,LOUIS,76,L,-5.5,L,137.5,O
28,"Mar 14, 2019",LOUIS,70,UNC,83,L,-7.0,L,151.0,O
29,"Mar 13, 2019",ND,53,LOUIS,75,W,-7.5,W,133.5,U
