,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 15, 2020",LOYMA,65,SACLA,59,W,-7.0,W,135.0,U
1,"Feb 13, 2020",BYU,77,LOYMA,54,L,11.5,L,141.5,U
2,"Feb 6, 2020",LOYMA,67,GONZG,85,L,-25.5,W,140.0,O
3,"Feb 1, 2020",PEPPR,68,LOYMA,67,L,3.0,W,143.5,U
4,"Jan 30, 2020",LOYMA,50,PACIF,62,L,-6.5,L,125.0,U
5,"Jan 25, 2020",STMAR,73,LOYMA,62,L,9.5,L,127.0,O
6,"Jan 23, 2020",PORTL,65,LOYMA,77,W,-6.5,W,128.0,O
7,"Jan 18, 2020",LOYMA,53,SF,61,L,-10.5,W,138.5,U
8,"Jan 16, 2020",LOYMA,67,PEPPR,75,L,-7.0,L,141.5,O
9,"Jan 11, 2020",GONZG,87,LOYMA,62,L,18.5,L,142.0,O
10,"Jan 4, 2020",LOYMA,38,BYU,63,L,-16.0,L,135.0,U
11,"Jan 2, 2020",SD,58,LOYMA,64,W,2.0,W,129.0,U
12,"Dec 28, 2019",MORGN,74,LOYMA,71,L,-10.0,L,135.0,O
13,"Dec 22, 2019",FULLR,46,LOYMA,53,W,-7.0,P,128.5,U
14,"Dec 19, 2019",PORST,76,LOYMA,66,L,-3.5,L,144.0,U
15,"Dec 16, 2019",LOYMA,65,UCDAV,67,L,-1.5,L,128.5,O
16,"Dec 13, 2019",PVA&M,76,LOYMA,79,W,-6.5,L,135.5,O
17,"Dec 7, 2019",GRAMB,67,LOYMA,83,W,-10.0,W,131.5,O
18,"Dec 4, 2019",LOYMA,64,COLO,76,L,-17.0,W,122.5,O
19,"Dec 1, 2019",SUTAH,51,LOYMA,61,W,0.0,W,130.5,U
20,"Nov 24, 2019",LOYMA,50,DUQU,71,L,-8.0,L,123.5,U
21,"Nov 22, 2019",INDST,72,LOYMA,60,L,2.5,L,133.0,U
22,"Nov 21, 2019",LOYMA,78,AIRFO,64,W,-2.5,W,127.5,O
23,"Nov 16, 2019",COLST,74,LOYMA,64,L,3.0,L,132.0,O
24,"Nov 9, 2019",LOYMA,67,NEV,72,L,-9.0,W,142.5,U
25,"Nov 5, 2019",WESTCL,62,LOYMA,105,W,0.0,,0.0,
26,"Mar 28, 2019",LOYMA,47,S.FLA,56,L,-4.0,L,132.0,U
27,"Mar 25, 2019",BROWN,63,LOYMA,81,W,-7.0,W,138.0,O
28,"Mar 20, 2019",LOYMA,56,CALBAP,55,W,2.0,L,139.5,U
29,"Mar 8, 2019",PEPPR,68,LOYMA,65,L,-4.5,L,137.0,U
