,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 19, 2020",ARMY,77,LOYMD,81,W,-5.0,L,151.0,O
1,"Feb 16, 2020",COLGT,80,LOYMD,84,W,5.5,W,150.5,O
2,"Feb 12, 2020",LOYMD,76,AMERN,81,L,-3.5,L,148.0,O
3,"Feb 8, 2020",BUCKN,65,LOYMD,78,W,-2.0,W,148.0,U
4,"Feb 5, 2020",LOYMD,74,HOLYC,60,W,5.5,W,152.5,U
5,"Feb 1, 2020",NAVY,73,LOYMD,79,W,2.0,W,137.5,O
6,"Jan 29, 2020",LOYMD,77,BOSTU,92,L,-8.0,L,146.0,O
7,"Jan 25, 2020",LOYMD,83,BUCKN,98,L,-6.5,L,146.0,O
8,"Jan 22, 2020",AMERN,93,LOYMD,91,L,3.0,W,142.0,O
9,"Jan 18, 2020",LOYMD,80,ARMY,81,L,-2.0,W,142.0,O
10,"Jan 13, 2020",BOSTU,85,LOYMD,53,L,5.0,L,143.5,U
11,"Jan 11, 2020",LAFAY,65,LOYMD,62,L,1.0,L,144.5,U
12,"Jan 8, 2020",LOYMD,70,COLGT,92,L,-7.5,L,144.0,O
13,"Jan 5, 2020",LOYMD,71,LEHIH,78,L,0.0,,139.5,O
14,"Jan 2, 2020",HOLYC,70,LOYMD,80,W,-12.5,L,148.5,O
15,"Dec 29, 2019",LOYMD,51,VACOM,85,L,-16.0,L,140.0,U
16,"Dec 27, 2019",LOWELL,81,LOYMD,93,W,-6.0,W,147.5,O
17,"Dec 21, 2019",EBTHTN,45,LOYMD,72,W,0.0,,0.0,
18,"Dec 7, 2019",LOYMD,64,MTSTM,48,W,-2.0,W,134.0,U
19,"Dec 4, 2019",LOYMD,84,DELST,76,W,14.5,L,152.5,O
20,"Dec 1, 2019",BINGH,65,LOYMD,77,W,-10.5,W,146.5,U
21,"Nov 26, 2019",LOYMD,65,NEBOM,70,L,-6.0,W,150.5,U
22,"Nov 25, 2019",IUPUI,77,LOYMD,81,W,-5.0,L,139.5,O
23,"Nov 19, 2019",LOYMD,61,GMASN,65,L,-8.5,W,143.5,U
24,"Nov 17, 2019",FAIRF,75,LOYMD,84,W,-5.5,W,132.5,O
25,"Nov 13, 2019",LOYMD,53,OLDDO,62,L,-9.5,W,139.5,U
26,"Nov 9, 2019",LOYMD,98,CHIST,85,W,12.5,W,149.0,O
27,"Nov 5, 2019",LOYMD,53,MARQ,88,L,-18.0,L,151.0,U
28,"Mar 5, 2019",LOYMD,63,BOSTU,71,L,-4.5,L,145.5,U
29,"Mar 2, 2019",LEHIH,73,LOYMD,92,W,3.5,W,158.0,O
