,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",MANHT,52,SIENA,65,L,-7.5,L,133.0,U
1,"Feb 14, 2020",MANHT,57,IONA,80,L,-2.5,L,135.5,O
2,"Feb 9, 2020",MANHT,65,QUINN,63,W,-2.0,W,132.5,U
3,"Feb 7, 2020",NIAGR,59,MANHT,77,W,-6.5,W,128.5,O
4,"Feb 2, 2020",IONA,49,MANHT,72,W,-3.5,W,134.5,U
5,"Jan 31, 2020",MANHT,53,STPET,70,L,-3.0,L,120.0,O
6,"Jan 26, 2020",RIDER,67,MANHT,63,L,0.0,L,134.0,U
7,"Jan 22, 2020",MANHT,73,MARST,75,L,5.0,L,119.5,O
8,"Jan 18, 2020",MONMO,65,MANHT,58,L,-2.5,L,132.0,U
9,"Jan 16, 2020",QUINN,57,MANHT,69,W,-2.0,W,132.0,U
10,"Jan 12, 2020",SIENA,69,MANHT,81,W,2.5,W,129.0,O
11,"Jan 10, 2020",MANHT,60,FAIRF,68,L,-2.5,L,115.0,O
12,"Jan 5, 2020",MANHT,67,NIAGR,62,W,0.0,,131.0,U
13,"Jan 3, 2020",MANHT,71,CANIS,67,W,-5.5,W,129.0,O
14,"Dec 22, 2019",MANHT,51,HOFST,63,L,-9.5,L,134.5,U
15,"Dec 14, 2019",WMICH,59,MANHT,58,L,-4.0,L,129.0,U
16,"Dec 7, 2019",MANHT,54,FORDM,53,W,-5.0,W,118.0,U
17,"Dec 2, 2019",MANHT,47,STONY,65,L,-6.0,L,128.0,U
18,"Nov 27, 2019",MANHT,64,RHODEI,73,L,-12.0,W,129.5,O
19,"Nov 23, 2019",MANHT,69,ELON,64,W,2.5,W,127.0,O
20,"Nov 19, 2019",MANHT,57,SAMFD,70,L,-4.0,L,139.0,U
21,"Nov 16, 2019",ALBNY,51,MANHT,57,W,2.0,W,134.0,U
22,"Nov 12, 2019",DELST,74,MANHT,85,W,-18.0,L,131.5,O
23,"Mar 8, 2019",MANHT,65,CANIS,69,L,-4.5,W,124.0,O
24,"Mar 7, 2019",FAIRF,53,MANHT,57,W,3.0,W,119.0,U
25,"Mar 3, 2019",MANHT,62,QUINN,58,W,-7.5,W,125.0,U
26,"Mar 1, 2019",MONMO,62,MANHT,54,L,-1.0,L,117.0,U
27,"Feb 24, 2019",MANHT,59,FAIRF,72,L,-5.0,L,120.5,O
28,"Feb 22, 2019",IONA,66,MANHT,52,L,4.0,L,131.0,U
29,"Feb 17, 2019",MANHT,70,CANIS,65,W,-6.0,W,124.5,O
