,Date,Away,Score,Home,Score.1,Result,Home Spread,ATS,Total,OU
0,"Feb 16, 2020",MARST,70,IONA,78,L,-9.0,W,133.0,O
1,"Feb 14, 2020",FAIRF,57,MARST,53,L,-2.0,L,117.5,U
2,"Feb 7, 2020",STPET,61,MARST,72,W,4.5,W,120.5,O
3,"Feb 2, 2020",MARST,65,CANIS,66,L,-6.5,W,130.0,O
4,"Jan 31, 2020",MARST,67,NIAGR,48,W,-5.5,W,130.0,U
5,"Jan 24, 2020",MARST,57,SIENA,70,L,-11.5,L,130.5,U
6,"Jan 22, 2020",MANHT,73,MARST,75,W,5.0,W,119.5,O
7,"Jan 19, 2020",IONA,73,MARST,83,W,6.5,W,128.5,O
8,"Jan 16, 2020",MARST,66,MONMO,74,L,-11.5,W,125.5,O
9,"Jan 12, 2020",RIDER,69,MARST,52,L,8.5,L,129.5,U
10,"Jan 8, 2020",MARST,70,FAIRF,58,W,-11.0,W,108.5,O
11,"Jan 5, 2020",MARST,40,STPET,66,L,-8.0,L,117.5,U
12,"Jan 3, 2020",QUINN,63,MARST,58,L,5.5,W,129.5,U
13,"Dec 28, 2019",MARST,54,COLUM,69,L,-9.0,L,127.0,U
14,"Dec 21, 2019",MARST,56,BCOOK,85,L,-7.0,L,127.0,O
15,"Dec 18, 2019",NH,64,MARST,56,L,0.0,L,124.5,U
16,"Dec 16, 2019",MARST,64,RIDER,74,L,-15.5,W,132.0,O
17,"Dec 7, 2019",MARST,51,NAVY,53,L,-8.5,W,111.0,U
18,"Nov 30, 2019",ARMY,66,MARST,64,L,1.0,L,134.0,U
19,"Nov 23, 2019",CITDL,79,MARST,75,L,-3.0,L,141.0,O
20,"Nov 16, 2019",MARST,41,FORDM,58,L,-9.0,L,115.5,U
21,"Nov 12, 2019",HARTF,62,MARST,51,L,-2.0,L,126.5,U
22,"Nov 8, 2019",MARST,58,VMI,56,W,-5.0,W,136.0,U
23,"Mar 7, 2019",STPET,71,MARST,68,L,-2.5,L,121.0,O
24,"Mar 3, 2019",RIDER,75,MARST,64,L,2.5,L,147.0,U
25,"Mar 1, 2019",MARST,44,FAIRF,59,L,-2.5,L,136.0,U
26,"Feb 24, 2019",MARST,55,SIENA,67,L,-4.0,L,123.0,U
27,"Feb 22, 2019",STPET,65,MARST,59,L,-6.0,L,124.0,P
28,"Feb 17, 2019",MARST,75,MONMO,67,W,-3.5,W,127.5,O
29,"Feb 15, 2019",MARST,63,QUINN,61,W,-4.5,W,139.0,U
